Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
DANAHER CORP;003735;DHR;31/12/2017;2017;INDL;C;D;STD;USD;46648,60;619,60;3180,30;4418,60;11468,80;2492,10;18329,70;A
TARGET CORP;003813;TGT;31/01/2017;2016;INDL;C;D;STD;USD;37431,00;1547,00;4973,00;7271,00;20623,00;2737,00;69495,00;A
DEERE & CO;003835;DE;31/10/2017;2017;INDL;C;D;STD;USD;65786,30;2592,30;2861,30;4576,80;8940,10;2159,10;28444,70;A
DTE ENERGY CO;003897;DTE;31/12/2017;2017;INDL;C;D;STD;USD;33767,00;2250,00;1646,00;2676,00;2676,00;1134,00;12607,00;A
DISNEY (WALT) CO;003980;DIS;30/09/2017;2017;INDL;C;D;STD;USD;95789,00;3623,00;13873,00;16655,00;24831,00;8980,00;55137,00;A
DOMINION ENERGY INC;004029;D;31/12/2017;2017;INDL;C;D;STD;USD;76585,00;5504,00;4124,00;6029,00;6029,00;2999,00;12586,00;A
DONNELLEY (R R) & SONS CO;004040;RRD;31/12/2017;2017;INDL;C;D;STD;USD;3904,50;108,50;282,80;474,20;1320,30;-34,40;6939,60;I
DOVER CORP;004058;DOV;31/12/2017;2017;INDL;C;D;STD;USD;10657,65;196,74;986,94;1381,18;3300,41;811,67;7830,44;A
DUPONT DE NEMOURS INC;004060;DD;31/12/2017;2017;INDL;C;D;STD;USD;192164,00;3570,00;7352,00;11207,00;17325,00;1460,00;62484,00;A
OMNICOM GROUP INC;004066;OMC;31/12/2017;2017;INDL;C;D;STD;USD;24931,20;156,00;2059,70;2341,80;2791,80;1088,40;15273,60;A
DUKE ENERGY CORP;004093;DUK;31/12/2017;2017;INDL;C;D;STD;USD;137914,00;8052,00;6129,00;9656,00;9656,00;3059,00;23565,00;A
DUN & BRADSTREET HOLDNGS INC;004094;DNB;31/12/2017;2017;INDL;C;D;STD;USD;2480,90;8,40;423,00;502,70;1167,80;140,90;1742,50;A
FLOWSERVE CORP;004108;FLS;31/12/2017;2017;INDL;C;D;STD;USD;4910,47;61,60;303,49;420,26;1263,01;2,65;3660,83;A
EATON CORP PLC;004199;ETN;31/12/2017;2017;INDL;C;D;STD;USD;32623,00;520,00;2503,00;3362,00;7507,00;2985,00;20404,00;A
ECOLAB INC;004213;ECL;31/12/2017;2017;INDL;C;D;STD;USD;19962,40;868,60;2060,10;2953,40;7370,50;1508,40;13838,30;A
EMERSON ELECTRIC CO;004321;EMR;30/09/2017;2017;INDL;C;D;STD;USD;19589,00;476,00;2724,00;3360,00;6978,00;1518,00;15264,00;A
EQUIFAX INC;004423;EFX;31/12/2017;2017;INDL;C;D;STD;USD;7233,40;218,20;950,30;1238,10;2165,70;587,30;3362,20;A
EQT CORP;004430;EQT;31/12/2017;2017;INDL;C;D;STD;USD;29522,60;1939,20;1178,26;2266,76;2266,76;1508,53;3378,02;A
EXPEDITORS INTL WASH INC;004494;EXPD;31/12/2017;2017;INDL;C;D;STD;USD;3117,01;95,02;690,26;739,57;932,34;489,35;6920,95;A
EXXON MOBIL CORP;004503;XOM;31/12/2017;2017;INDL;C;D;STD;USD;348691,00;15402,00;12074,00;31967,00;44713,00;19710,00;237162,00;A
FMC CORP;004510;FMC;31/12/2017;2017;INDL;C;D;STD;USD;9206,30;85,70;491,60;584,70;1214,60;535,80;2878,60;A
NEXTERA ENERGY INC;004517;NEE;31/12/2017;2017;INDL;C;D;STD;USD;97827,00;5371,00;6650,00;9007,00;9007,00;5378,00;17195,00;A
