BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise
TERADATA CORP;TDC;01/12/2017;6;5;4;83,33%;66,67%
TERADYNE INC;TER;01/12/2017;3;1;3;33,33%;100,00%
TEXAS INSTRUMENTS INC;TXN;01/12/2017;18;18;10;100,00%;55,56%
TEXTRON INC;TXT;01/12/2017;8;8;5;100,00%;62,50%
THE CIGNA GROUP (Cigna Corp prior to 02/2023);CI;01/12/2017;5;5;3;100,00%;60,00%
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);TRV;01/12/2017;9;7;3;77,78%;33,33%
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);TMO;01/12/2017;5;5;4;100,00%;80,00%
TOTAL SYSTEM SERVICES INC (TSYS) (De-listed 09/2019);TSS;01/12/2017;3;1;1;33,33%;33,33%
TRIPADVISOR INC;TRIP;01/12/2017;3;3;3;100,00%;100,00%
TWC ENTERPRISES LTD (ClubLink Enterprises Ltd prior to 06/2014);TWC;01/12/2017;4;4;0;100,00%;0,00%
UNION PACIFIC CORP;UNP;01/12/2017;6;4;2;66,67%;33,33%
UNITED PARCEL SERVICE (UPS) INC;UPS;01/12/2017;5;4;5;80,00%;100,00%
UNITED STATES STEEL CORP;X;01/12/2017;8;7;5;87,50%;62,50%
UNITEDHEALTH GROUP INC;UNH;01/12/2017;7;7;7;100,00%;100,00%
UNUM GROUP (UnumProvident Corp prior to 03/2007);UNM;01/12/2017;5;3;5;60,00%;100,00%
US BANCORP;USB;01/12/2017;4;4;4;100,00%;100,00%
US BANCORP;USB.PRA;01/12/2017;4;4;4;100,00%;100,00%
US BANCORP;USB.PRH;01/12/2017;4;4;4;100,00%;100,00%
VALERO ENERGY CORP;VLO;01/12/2017;4;3;3;75,00%;75,00%
VERISIGN INC;VRSN;01/12/2017;3;2;3;66,67%;100,00%
VERIZON COMMUNICATIONS INC;VZ;01/12/2017;7;4;6;57,14%;85,71%
VF CORP;VFC;01/12/2017;8;8;7;100,00%;87,50%
VICINITY MOTOR CORP (Grande West Transportation Group Inc prior to 03/2021);VMC;01/12/2017;4;4;0;100,00%;0,00%
VORNADO REALTY TRUST;VNO;01/12/2017;4;3;3;75,00%;75,00%
VULCAN MATERIALS CO;VMC;01/12/2017;6;5;2;83,33%;33,33%
WASTE MANAGEMENT INC;WM;01/12/2017;7;7;6;100,00%;85,71%
WATERS CORP;WAT;01/12/2017;6;6;6;100,00%;100,00%
WESTERN UNION CO;WU;01/12/2017;7;5;2;71,43%;28,57%
WEYERHAEUSER CO;WY;01/12/2017;6;5;1;83,33%;16,67%
WHIRLPOOL CORP;WHR;01/12/2017;9;9;2;100,00%;22,22%
WILLIAMS COMPANIES INC;WMB;01/12/2017;7;7;7;100,00%;100,00%
WPX ENERGY INC (De-listed 01/2021);WPX;01/12/2017;4;4;4;100,00%;100,00%
WW GRAINGER INC;GWW;01/12/2017;6;6;5;100,00%;83,33%
WYNN RESORTS LTD;WYNN;01/12/2017;4;4;3;100,00%;75,00%
XCEL ENERGY INC;XEL;01/12/2017;8;8;4;100,00%;50,00%
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);XRX;01/12/2017;5;4;4;80,00%;80,00%
XYLEM INC;XYL;01/12/2017;6;6;4;100,00%;66,67%
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);YUM;01/12/2017;6;6;1;100,00%;16,67%
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);ZION;01/12/2017;5;5;5;100,00%;100,00%
