Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
HONEYWELL INTERNATIONAL INC;1300;10145;43851610;HON;31/12/2017;7;7;4;1;0,5714;0,18;0,16;0,08;0,23;0,71;2,43;USD;59387;1031;8122;9237;14858;1655;40534;A
HUMANA INC;27914;48653;44485910;HUM;31/12/2017;6;2;3;0,3333;0,5;0,29;0,15;0,24;0,24;0,64;1,76;USD;27178;;;;;;;A
HUMANA INC;27914;48653;44485910;HUM;31/12/2017;6;2;3;0,3333;0,5;0,29;0,15;0,24;0,24;0,64;1,76;USD;27178;526;3493;3978;10343;2448;53732;A
HUNTINGTON BANCSHARES;5786;42906;44615010;HBAN;31/12/2017;4;4;4;1;1;0,63;0,02;0,12;0,08;0,9;8,63;USD;104185;;;;;;;A
HUNTINGTON BANCSHARES;5786;42906;44615010;HBAN;31/12/2017;4;4;4;1;1;0,63;0,02;0,12;0,08;0,9;8,63;USD;104185;194;1788;2201;4108;1186;4740;A
ILLINOIS TOOL WORKS;5878;56573;45230810;ITW;31/12/2017;7;7;2;1;0,2857;0,08;0,24;0,37;0,27;0,73;2,66;USD;16780;297;3399;3861;6261;1687;14314;A
INTEL CORP;6008;59328;45814010;INTC;31/12/2017;5;4;2;0,8;0,4;0,33;0,23;0,14;0,2;0,43;0,76;USD;123249;11778;18488;26617;47076;9601;62761;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2017;4;4;2;1;0,5;0,47;0,04;0,13;0,11;0,78;3,62;USD;78264;;;;;;;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2017;4;4;2;1;0,5;0,47;0,04;0,13;0,11;0,78;3,62;USD;78264;357;2435;2964;3623;2514;5834;A
INTL BUSINESS MACHINES CORP;6066;12490;45920010;IBM;31/12/2017;7;6;6;0,8571;0,8571;0,13;0,13;0,31;0,17;0,86;6,12;USD;125356;3229;10913;15454;40930;5753;79139;A
INTL FLAVORS & FRAGRANCES;6078;40272;45950610;IFF;31/12/2017;6;6;6;1;1;0,14;0,18;0,17;0,21;0,63;1,73;USD;4598,93;128,97;646,11;762,28;1589,61;295,67;3398,72;A
INTERPUBLIC GROUP OF COS;6136;53065;46069010;IPG;31/12/2017;9;7;9;0,7778;1;0,31;0,09;0,25;0,27;0,8;4,64;USD;12695,2;155,9;973,6;1130,7;1130,7;579;7882,4;A
INTUITIVE SURGICAL INC;136725;88352;46120E60;ISRG;31/12/2017;5;3;2;0,6;0,4;0,12;0,19;0,13;0,21;0,18;0,22;USD;5758;190,7;1079,9;1174,9;2296,9;660;3128,9;A
JOHNSON & JOHNSON;6266;22111;47816010;JNJ;31/12/2017;4;4;1;1;0,25;0,18;0,17;0,02;0,21;0,62;1,61;USD;157303;3279;19847;25489;57463;1300;76450;A
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2017;4;3;4;0,75;1;0,64;0,02;0,11;0,07;0,9;8,91;USD;2533600;;;;;;;A
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2017;4;3;4;0,75;1;0,64;0,02;0,11;0,07;0,9;8,91;USD;2533600;0;52778;58957;93689;24441;113254;A
JUNIPER NETWORKS INC;121718;86979;48203R10;JNPR;31/12/2017;3;2;2;0,6667;0,6667;0,45;0,12;0,06;0,13;0,52;1,1;USD;9833,8;151,2;935,1;1155,4;3294,1;306,2;5027,2;A
KELLANOVA;6375;26825;48783610;K;31/12/2017;7;7;3;1;0,4286;0,11;0,17;0,51;0,22;0,86;6,38;USD;16350;501;2214;2695;5550;1269;12923;A
KEYCORP;9783;64995;49326710;KEY;31/12/2017;4;4;2;1;0,5;0,65;0,02;0,09;0,11;0,89;8,17;USD;137698;;;;;;;A
KEYCORP;9783;64995;49326710;KEY;31/12/2017;4;4;2;1;0,5;0,65;0,02;0,09;0,11;0,89;8,17;USD;137698;112;3114;3114;5924;1296;6766;A
KEYCORP;9783;64995;49326710;KEY;31/12/2017;4;4;0;1;0;0,65;0,02;0,09;0,11;0,89;8,17;USD;137698;;;;;;;A
KEYCORP;9783;64995;49326710;KEY;31/12/2017;4;4;0;1;0;0,65;0,02;0,09;0,11;0,89;8,17;USD;137698;112;3114;3114;5924;1296;6766;A
KIMBERLY-CLARK CORP;6435;17750;49436810;KMB;31/12/2017;6;4;6;0,6667;1;0,02;0,27;;0,43;0,94;22,59;USD;15151;785;3326;4050;7277;2278;18259;A
KINDER MORGAN INC;6310;12558;49456B10;KMI;31/12/2017;5;5;4;1;0,8;0,84;0,07;0,01;0,05;0,56;1,31;USD;79055;3188;3556;5817;5817;183;13705;A
LABCORP HOLDINGS INC;14960;12062;50540R40;LH;31/12/2017;14;6;8;0,4286;0,5714;0,47;0,13;0,18;0,12;0,59;1,42;USD;16568;312,9;1546,5;2069,8;3770,8;1268,2;10441,4;A
LEGGETT & PLATT INC;6649;60943;52466010;LEG;31/12/2017;8;6;7;0,75;0,875;0,2;0,17;0,24;0,2;0,66;1,98;USD;3550,8;159,4;443,6;559,6;963,2;292,6;3943,8;A
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2017;5;5;0;1;0;;0,2;;0,43;1,21;-5,7;USD;8208;227;1335;1678;3225;-155;6380;A
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2017;5;2;1;0,4;0,2;1,16;0,01;0,11;0,1;0,94;15,27;USD;281763;;;;;;;A
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2017;5;2;1;0,4;0,2;1,16;0,01;0,11;0,1;0,94;15,27;USD;281763;0;2166;;2166;2079;14092;A
LOEWS CORP;6781;26710;54042410;L;31/12/2017;5;4;0;0,8;0;1,2;0,04;0,06;0,07;0,69;2,87;USD;79586;;;;;;;A
LOEWS CORP;6781;26710;54042410;L;31/12/2017;5;4;0;0,8;0;1,2;0,04;0,06;0,07;0,69;2,87;USD;79586;1031;1959;2833;2833;1164;13500;A
LOCKHEED MARTIN CORP;6774;21178;53983010;LMT;31/12/2017;6;6;5;1;0,8333;;0,15;;0,39;1,01;-69;USD;46521;1177;5668;6863;6863;2002;51048;A
LOEWS CORP;6781;26710;54042410;L;31/12/2017;8;2;2;0,25;0,25;1,2;0,04;0,06;0,07;0,69;2,87;USD;79586;;;;;;;A
LOEWS CORP;6781;26710;54042410;L;31/12/2017;8;2;2;0,25;0,25;1,2;0,04;0,06;0,07;0,69;2,87;USD;79586;1031;1959;2833;2833;1164;13500;A
M & T BANK CORP;4699;35554;55261F10;MTB;31/12/2017;5;5;2;1;0,4;0,59;0,03;0,09;0,14;0,86;6,3;USD;118593,49;;;;;;;A
M & T BANK CORP;4699;35554;55261F10;MTB;31/12/2017;5;5;2;1;0,4;0,59;0,03;0,09;0,14;0,86;6,3;USD;118593,49;78,97;3321,25;3518,37;5464,19;1408,31;6018,94;A
MARATHON PETROLEUM CORP;186989;12872;56585A10;MPC;31/12/2017;8;8;4;1;0,5;0,52;0,12;0,2;0,13;0,55;1,94;USD;49047;2732;3362;5476;7190;3432;66974;A
MARRIOTT INTL INC;28930;85913;57190320;MAR;31/12/2017;4;3;4;0,75;1;0,09;0,12;0,46;0,2;0,84;5,42;USD;23948;240;2521;2936;2936;1372;22891;A
MARSH & MCLENNAN COS;7065;45751;57174810;MMC;31/12/2017;6;6;5;1;0,8333;0,19;0,18;0,21;0,24;0,64;1,76;USD;20429;302;2914;3395;3395;1492;14024;A
MASCO CORP;7085;34032;57459910;MAS;31/12/2017;7;6;6;0,8571;0,8571;;0,24;;0,41;0,97;-88,53;USD;5488;173;1173;1292;2734;533;7644;A
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2017;6;6;2;1;0,3333;0,03;0,36;0,69;0,63;0,74;2,88;USD;21329;;;;;;;A
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2017;6;6;2;1;0,3333;0,03;0,36;0,69;0,63;0,74;2,88;USD;21329;300;6804;7240;7240;3915;12497;A
MATTEL INC;7116;39538;57708110;MAT;31/12/2017;6;4;5;0,6667;0,8333;0,25;0,02;-0,56;-0,04;0,8;3,96;USD;6238,5;297,16;-167,1;96,99;2125,25;-1053,84;4924,95;A
MERCK & CO;7257;22752;58933Y10;MRK;31/12/2017;5;5;2;1;0,4;0,24;0,14;0,06;0,13;0,61;1,55;USD;87872;1888;8148;12725;32196;2394;40122;A
METLIFE INC;133768;87842;59156R10;MET;31/12/2017;8;8;5;1;0,625;1,2;0,01;0,07;0,06;0,92;10,88;USD;719892;;;;;;;A
METLIFE INC;133768;87842;59156R10;MET;31/12/2017;8;8;5;1;0,625;1,2;0,01;0,07;0,06;0,92;10,88;USD;719892;0;4981;5804;10919;4010;62412;A
3M CO;7435;22592;88579Y10;MMM;31/12/2017;3;3;0;1;0;0,08;0,25;0,44;0,31;0,69;2,28;USD;37987;1373;7333;8877;17286;4858;31657;A
MOLSON COORS BEVERAGE CO;3505;59248;60871R20;TAP;31/12/2017;4;3;2;0,75;0,5;0,84;0,09;0,1;0,08;0,56;1,27;USD;30246,9;599,6;1834,5;2626,8;5366,5;1414,2;11002,8;A
MONSTER BEVERAGE CORP;24316;88031;61174X10;MNST;31/12/2017;5;1;3;0,2;0,6;0,11;0,28;0,23;0,33;0,19;0,23;USD;4791,01;83,44;1198,2;1247,09;2185,99;820,68;3368,46;A
MOODY'S CORP;139665;48506;61536910;MCO;31/12/2017;14;11;12;0,7857;0,8571;;0,29;;0,5;1,01;-26,58;USD;8594,2;90,6;1831,6;1989,9;2981,3;1000,6;4204,1;A
MORGAN STANLEY;12124;69032;61744644;MS;31/12/2017;6;6;5;1;0,8333;0,73;0,02;0,09;0,04;0,91;9,98;USD;851733;;;;;;;A
MORGAN STANLEY;12124;69032;61744644;MS;31/12/2017;6;6;5;1;0,8333;0,73;0,02;0,09;0,04;0,91;9,98;USD;851733;1629;15913;17666;17666;6111;43642;A
MOSAIC CO;162129;90386;61945C10;MOS;31/12/2017;8;7;4;0,875;0,5;1,19;0,07;-0,01;0,04;0,48;0,94;USD;18633,4;820,1;500,6;1185,7;1540,9;-107,2;7409,4;A
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2017;5;5;4;1;0,8;;0,2;;0,43;1,21;-5,7;USD;8208;227;1335;1678;3225;-155;6380;A
MURPHY OIL CORP;7620;28345;62671710;MUR;31/12/2017;5;2;2;0,4;0,4;0,89;0,13;-0,06;0,03;0,53;1,13;USD;9860,94;1009,67;239,85;1301,93;1585,75;-311,79;2097,7;A
NASDAQ INC;149337;90601;63110310;NDAQ;31/12/2017;7;7;6;1;0,8571;0,5;0,08;0,12;0,11;0,63;1,68;USD;15786;;;;;;;A
NASDAQ INC;149337;90601;63110310;NDAQ;31/12/2017;7;7;6;1;0,8571;0,5;0,08;0,12;0,11;0,63;1,68;USD;15786;144;1053;1241;1241;734;3965;A
NETFLIX INC;147579;89393;64110L10;NFLX;31/12/2017;4;1;1;0,25;0,25;0,04;0,06;0,18;0,1;0,81;4,31;USD;19012,74;173,3;838,68;910,59;4104,96;558,93;11692,71;A
NEWELL BRANDS INC;7875;60986;65122910;NWL;31/12/2017;4;2;4;0,5;1;1,16;0,07;0,16;0,07;0,57;1,34;USD;33135,5;406,2;1772,1;2408,1;5773,2;2748,8;14742,2;A
OVINTIV EXPLORATION INC;29173;79915;65129010;NFX;31/12/2017;6;4;5;0,6667;0,8333;0,24;0,21;0,35;0,14;0,72;2,52;USD;4961;1289;517;984;1182;427;1767;I
NEWMONT CORP;7881;21207;65163910;NEM;31/12/2017;8;8;6;1;0,75;0,56;0,13;-0,01;0,09;0,43;0,84;USD;20563;866;1309;2735;3294;-98;7348;A
NEXTERA ENERGY INC;4517;24205;65339F10;NEE;31/12/2017;5;5;2;1;0,4;0,46;0,1;0,15;0,11;0,7;2,42;USD;97827;5371;6650;9007;9007;5378;17195;A
NISOURCE INC;7974;38762;65473P10;NI;31/12/2017;5;5;1;1;0,2;0,65;0,08;0,02;0,07;0,78;3,62;USD;19961,7;1695,8;932,2;1502,5;1502,5;128,5;4874,6;A
NOBLE ENERGY INC;7912;61815;65504410;NBL;31/12/2017;7;4;2;0,5714;0,2857;0,77;0,1;-0,1;0,01;0,51;1,09;USD;21476;2649;113;2228;2831;-1118;4060;I
NORFOLK SOUTHERN CORP;7923;64311;65584410;NSC;31/12/2017;6;5;6;0,8333;1;0,55;0,13;0,24;0,14;0,54;1,18;USD;35711;1723;3435;4490;4490;5404;10551;A
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2017;5;4;4;0,8;0,8;0,43;0,02;0,13;0,14;0,93;12,57;USD;138590,5;;;;;;;A
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2017;5;4;4;0,8;0,8;0,43;0,02;0,13;0,14;0,93;12,57;USD;138590,5;91,6;2736,2;3157,9;5403,3;1199;5715,5;A
NORTHROP GRUMMAN CORP;7985;24766;66680710;NOC;31/12/2017;7;4;3;0,5714;0,4286;0,13;0,12;0,33;0,19;0,8;3,95;USD;34917;928;3299;3774;6429;2015;25803;A
NOV INC;63892;84032;63707110;NOV;31/12/2017;4;3;4;0,75;1;1,08;0,03;-0,02;-0,01;0,3;0,43;USD;20206;192;-87;611;1780;-237;7304;A
NRG ENERGY INC;135990;90071;62937750;NRG;31/12/2017;7;6;4;0,8571;0,5714;;0,09;;0,07;0,91;-61,48;USD;23318;1111;1257;2313;2313;-2153;10629;A
NUCOR CORP;8030;34817;67034610;NUE;31/12/2017;8;5;1;0,625;0,125;0,45;0,17;0,15;0,15;0,43;0,77;USD;15841,26;448,56;1904,38;2631,44;3296,47;1318,69;20252,39;A
O'REILLY AUTOMOTIVE INC;28180;79103;67103H10;ORLY;31/12/2017;6;2;1;0,3333;0,1667;0,04;0,26;0,92;0,48;0,91;10,59;USD;7571,89;465,94;1716,3;1951,65;4956,03;1133,8;8977,73;A
O-I GLASS INC;8215;77157;69076840;OI;31/12/2017;7;7;3;1;0,4286;0,25;0,1;0,29;0,09;0,9;10,93;USD;9756;441;541;981;1543;180;6880;A
OCCIDENTAL PETROLEUM CORP;8068;34833;67459910;OXY;31/12/2017;6;6;6;1;1;0,38;0,11;0,06;0,02;0,51;1,04;USD;42026;3599;698;4700;6206;1311;12508;A
OMNICOM GROUP INC;4066;30681;68191910;OMC;31/12/2017;7;6;6;0,8571;0,8571;0,18;0,1;0,38;0,28;0,87;8,26;USD;24931,2;156;2059,7;2341,8;2791,8;1088,4;15273,6;A
ONEOK INC;8151;25232;68268010;OKE;31/12/2017;5;4;5;0,8;1;0,27;0,11;0,1;0,12;0,66;2,02;USD;16845,94;512,39;1445,94;1852,28;1852,28;387,84;12173,91;A
PACCAR INC;8253;60506;69371810;PCAR;31/12/2017;4;4;4;1;1;0,35;0,15;0,21;0,14;0,66;1,91;USD;23440,2;1846,6;2293,2;3400,7;4242,7;1675,2;19456,4;A
PEABODY ENERGY CORP;142460;16689;70455110;BTU;31/12/2017;3;3;3;1;1;0,73;0,13;0,29;0,27;0,55;1,25;USD;8181,2;199,4;648,8;1346,1;1488,7;466,5;5550,8;A
PPL CORP;8455;22517;69351T10;PPL;31/12/2017;6;6;3;1;0,5;0,62;0,1;0,08;0,1;0,74;2,85;USD;41479;3133;3068;4076;4076;1128;7447;A
PEOPLE'S UNITED FINL INC;16245;12073;71270410;PBCT;31/12/2017;8;4;4;0,5;0,5;0,88;0,02;0,06;0,07;0,87;6,64;USD;44453,4;;;;;;;I
PEOPLE'S UNITED FINL INC;16245;12073;71270410;PBCT;31/12/2017;8;4;4;0,5;0,5;0,88;0,02;0,06;0,07;0,87;6,64;USD;44453,4;29;682,3;751,4;1425;337,2;1652,9;I
PEPSICO INC;8479;13856;71344810;PEP;31/12/2017;7;7;4;1;0,5714;0,08;0,17;0,32;0,22;0,86;6,34;USD;79804;2969;10820;13189;37041;4857;63525;A
PFIZER INC;8530;21936;71708110;PFE;31/12/2017;5;4;5;0,8;1;0,35;0,12;0,26;0,14;0,58;1,4;USD;171797;1956;14847;21116;43219;21308;52546;A
PG&E CORP;8264;13688;69331C10;PCG;31/12/2017;7;7;6;1;0,8571;1,09;0,09;0,06;0,09;0,71;2,49;USD;68012;5641;3282;6136;6136;1660;17135;A
PHILIP MORRIS INTERNATIONAL;179621;92602;71817210;PM;31/12/2017;5;4;1;0,8;0,2;;0,31;;0,6;1,24;-4,4;USD;42968;1548;11503;12378;19103;6035;28748;A
PINNACLE WEST CAPITAL CORP;1075;27991;72348410;PNW;31/12/2017;6;4;2;0,6667;0,3333;0,73;0,09;0,07;0,1;0,7;2,37;USD;17019,08;1430,89;934,43;1468,55;1468,55;488,46;3565,3;A
PIONEER NATURAL RESOURCES CO;14359;75241;72378710;PXD;31/12/2017;14;14;10;1;0,7143;0,41;0,1;0,07;0,02;0,34;0,51;USD;17003;2701;301;1732;2152;833;5294;I
PITNEY BOWES INC;8606;24459;72447910;PBI;31/12/2017;6;3;4;0,5;0,6667;0,2;0,1;;0,13;0,97;34,42;USD;6678,72;170,99;462,85;645,19;2009,62;261,34;3549,95;A
PNC FINANCIAL SVCS GROUP INC;8245;60442;69347510;PNC;31/12/2017;5;3;2;0,6;0,4;0,67;0,02;0,12;0,08;0,88;7,01;USD;380768;;;;;;;A
PNC FINANCIAL SVCS GROUP INC;8245;60442;69347510;PNC;31/12/2017;5;3;2;0,6;0,4;0,67;0,02;0,12;0,08;0,88;7,01;USD;380768;0;7614;8731;15888;5338;18035;A
PPG INDUSTRIES INC;8247;22509;69350610;PPG;31/12/2017;5;5;5;1;1;0,2;0,16;0,24;0,22;0,66;1,96;USD;16538;360;2075;2535;6552;1594;14759;A
PPL CORP;8455;22517;69351T10;PPL;31/12/2017;7;7;6;1;0,8571;0,62;0,1;0,08;0,1;0,74;2,85;USD;41479;3133;3068;4076;4076;1128;7447;A
PRINCIPAL FINANCIAL GRP INC;145701;89195;74251V10;PFG;31/12/2017;6;5;1;0,8333;0,1667;0,68;0,01;0,18;0,15;0,95;18,75;USD;253941,2;;;;;;;A
PRINCIPAL FINANCIAL GRP INC;145701;89195;74251V10;PFG;31/12/2017;6;5;1;0,8333;0,1667;0,68;0,01;0,18;0,15;0,95;18,75;USD;253941,2;164,8;2168,1;2363,8;2363,8;2310,4;13860,5;A
PROGRESSIVE CORP-OHIO;13341;64390;74331510;PGR;31/12/2017;6;3;5;0,5;0,8333;0,29;0,07;0,18;0,19;0,75;3,11;USD;38701,2;;;;;;;A
PROGRESSIVE CORP-OHIO;13341;64390;74331510;PGR;31/12/2017;6;3;5;0,5;0,8333;0,29;0,07;0,18;0,19;0,75;3,11;USD;38701,2;155,7;2291,8;2527,9;2527,9;1592,2;26814,9;A
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2017;3;3;3;1;1;1,11;0,01;0,16;0,1;0,93;14,38;USD;831921;;;;;;;A
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2017;3;3;3;1;1;1,11;0,01;0,16;0,1;0,93;14,38;USD;831921;0;7844;8066;18440;7863;59727;A
PUBLIC SERVICE ENTRP GRP INC;8810;23712;74457310;PEG;31/12/2017;7;5;5;0,7143;0,7143;0,73;0,08;0,08;0,09;0,68;2,08;USD;42716;4190;2404;3415;3415;1574;9084;A
PULTEGROUP INC;8823;54148;74586710;PHM;31/12/2017;6;6;6;1;1;0,44;0,1;0,1;0,12;0,57;1,33;USD;9686,65;32,05;951,4;1002,4;1884,19;447,22;8573,25;A
QEP RESOURCES INC;154357;93422;74733V10;QEP;31/12/2017;6;6;6;1;1;1,87;0,09;0,06;-0,02;0,49;0,95;USD;7394,8;1974,8;-106,7;676,8;852,3;269,3;1622,9;I
QUANTA SERVICES INC;66446;85792;74762E10;PWR;31/12/2017;4;4;4;1;1;0,66;0,11;0,08;0,11;0,41;0,71;USD;6480,15;244,65;450,81;666,82;1425,67;314,98;9466,48;A
DONNELLEY (R R) & SONS CO;4040;38682;25786720;RRD;31/12/2017;8;8;8;1;1;;0,12;;0,14;1,05;-18,88;USD;3904,5;108,5;282,8;474,2;1320,3;-34,4;6939,6;I
RANGE RESOURCES CORP;6788;50017;75281A10;RRC;31/12/2017;5;5;5;1;1;1,53;0,1;0,05;0,03;0,51;1,03;USD;11728,84;1212,54;292,96;1187,68;1386,8;333,15;2609,11;A
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2017;3;3;0;1;0;0,91;0,16;0,2;0,06;0,75;3,04;USD;11452,23;1860,44;507,22;1768,39;2609,44;790,56;7329,6;A
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2017;5;4;4;0,8;0,8;0,78;0,02;0,08;0,12;0,87;6,68;USD;124294;;;;;;;A
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2017;5;4;4;0,8;0,8;0,78;0,02;0,08;0,12;0,87;6,68;USD;124294;150;2878;2878;5495;1263;6093;A
REPUBLIC SERVICES INC;112168;86228;76075910;RSG;31/12/2017;8;7;1;0,875;0,125;0,35;0,13;0,16;0,1;0,62;1,66;USD;21147;989,8;1632,4;2769,5;3826,9;1278,4;10041,5;A
ROBERT HALF INC;2312;52230;77032310;RHI;31/12/2017;4;4;2;1;0,5;0,16;0,32;0,27;0,47;0,41;0,69;USD;1867,45;40,75;515,72;581,21;2227,74;290,58;5266,79;A
ROPER TECHNOLOGIES INC;24925;77338;77669610;ROP;31/12/2017;4;4;3;1;0,75;0,29;0,11;0,13;0,1;0,52;1,09;USD;14316,41;48,75;1210,24;1553,76;3208,31;971,77;4607,47;A
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2017;5;2;5;0,4;1;0,91;0,16;0,2;0,06;0,75;3,04;USD;11452,23;1860,44;507,22;1768,39;2609,44;790,56;7329,6;A
SCANA CORP;9445;23085;80589M10;SCG;31/12/2017;5;4;1;0,8;0,2;1,15;0,08;-0,02;0,09;0,72;2,57;USD;18739;1225;1194;1576;1576;-119;4407;I
SEALED AIR CORP;9555;85926;81211K10;SEE;31/12/2017;6;6;5;1;0,8333;0,02;0,13;0,15;0,16;0,97;33,67;USD;5280,3;183,8;676,7;796,8;1524,2;814,9;4461,6;A
SEMPRA ENERGY;8272;86136;81685110;SRE;31/12/2017;7;7;1;1;0,1429;0,58;0,08;0,02;0,08;0,7;2,78;USD;50454;3949;2350;3840;3840;257;11207;A
SHERWIN-WILLIAMS CO;9667;36468;82434810;SHW;31/12/2017;4;4;3;1;0,75;0,13;0,19;0,51;0,23;0,82;4,41;USD;19958,43;222,77;2030,63;2522,39;7181,01;1772,26;14983,79;A
SLM CORP;20430;66325;78442P10;SLM;31/12/2017;7;7;3;1;0,4286;0,42;0,03;0,15;0,13;0,89;7,8;USD;21779,58;;;;;;;A
SLM CORP;20430;66325;78442P10;SLM;31/12/2017;7;7;3;1;0,4286;0,42;0,03;0,15;0,13;0,89;7,8;USD;21779,58;0;607,65;619,29;619,29;288,93;1466,2;A
SNAP-ON INC;9778;60206;83303410;SNA;31/12/2017;4;4;4;1;1;0,3;0,2;0,2;0,24;0,43;0,77;USD;5249,1;82;927,9;1021,1;2135,8;557,7;4000,3;A
SOUTHERN CO;9850;18411;84258710;SO;31/12/2017;5;4;2;0,8;0,4;0,69;0,08;0,02;0,08;0,77;3,48;USD;111005;7423;5981;8991;8991;880;23031;A
SOUTHWEST AIRLINES;9882;58683;84474110;LUV;31/12/2017;5;3;5;0,6;1;0,33;0,2;0,28;0,28;0,58;1,41;USD;25110;2249;3681;4899;7491;3488;21171;A
SOUTHWESTERN ENERGY CO;9904;63765;84546710;SWN;31/12/2017;5;4;5;0,8;1;0,69;0,17;0,72;0,12;0,74;2,8;USD;7521;1268;736;1240;1240;1046;3203;A
STANLEY BLACK & DECKER INC;10016;43350;85450210;SWK;31/12/2017;5;5;3;1;0,6;0,31;0,13;0,16;0,16;0,56;1,3;USD;19079,9;442,4;1718,6;2179,3;5121,7;1226;12747,2;A
STERICYCLE INC;63527;83906;85891210;SRCL;31/12/2017;5;4;2;0,8;0,4;0,45;0,11;0,02;0,09;0,58;1,14;USD;6988,3;143;495,5;745;1569,6;42,4;3580,7;A
STRYKER CORP;10115;73139;86366710;SYK;31/12/2017;3;3;3;1;1;0,17;0,16;0,1;0,16;0,55;1,23;USD;22197;598;2760;3402;8523;1020;12444;A
PRICE (T. ROWE) GROUP;12138;10138;74144T10;TROW;31/12/2017;5;4;3;0,8;0,6;0,23;0,32;0,28;0,38;0,1;0,12;USD;7534,7;;;;;;;A
PRICE (T. ROWE) GROUP;12138;10138;74144T10;TROW;31/12/2017;5;4;3;0,8;0,6;0,23;0,32;0,28;0,38;0,1;0,12;USD;7534,7;186,1;2058,8;2202,4;2202,4;1497,8;4793;A
AT&T INC;9899;66093;00206R10;T;31/12/2017;9;9;2;1;0,2222;0,77;0,12;0,16;0,09;0,68;2,14;USD;444097;21550;24974;49361;83410;29450;160789;A
TENET HEALTHCARE CORP;7750;52337;88033G40;THC;31/12/2017;9;9;9;1;1;;0,09;;0,09;0,9;-142,72;USD;23385;707;1389;2259;2259;-704;19179;A
TERADATA CORP;178310;92293;88076W10;TDC;31/12/2017;6;5;4;0,8333;0,6667;0,14;0,1;-0,08;0,07;0,74;2,83;USD;2556;78;102;240;1161;-67;2156;A
TERADYNE INC;10453;51369;88077010;TER;31/12/2017;3;1;3;0,3333;1;0,24;0,22;0,14;0,24;0,37;0,59;USD;3109,55;105,38;539,39;636,04;1289,99;257,69;2136,61;A
TEXAS INSTRUMENTS INC;10499;15579;88250810;TXN;31/12/2017;18;18;10;1;0,5556;0,1;0,41;0,35;0,43;0,41;0,71;USD;17642;695;6094;6998;10200;3682;14961;A
TEXTRON INC;10519;23579;88320310;TXT;31/12/2017;8;8;5;1;0,625;0,39;0,1;0,05;0,11;0,63;1,72;USD;15340;423;1066;1497;2834;307;14198;A
CIGNA GROUP (THE);2547;64186;12550910;CI;31/12/2017;5;5;3;1;0,6;0,28;0,08;0,16;0,23;0,78;3,49;USD;61753;;;;;;;A
CIGNA GROUP (THE);2547;64186;12550910;CI;31/12/2017;5;5;3;1;0,6;0,28;0,08;0,16;0,23;0,78;3,49;USD;61753;471;4369;4935;4935;2237;41616;A
TRAVELERS COS INC;62689;59459;89417E10;TRV;31/12/2017;9;7;3;0,7778;0,3333;0,64;0,03;0,09;0,09;0,77;3,36;USD;103483;;;;;;;A
TRAVELERS COS INC;62689;59459;89417E10;TRV;31/12/2017;9;7;3;0,7778;0,3333;0,64;0,03;0,09;0,09;0,77;3,36;USD;103483;0;2702;3515;6872;2056;28505;A
THERMO FISHER SCIENTIFIC INC;10530;62092;88355610;TMO;31/12/2017;5;5;4;1;0,8;0,37;0,1;0,09;0,08;0,55;1,23;USD;56669;508;3266;5294;10516;2225;20918;A
TOTAL SYSTEM SERVICES INC;10631;76639;89190610;TSS;31/12/2017;3;1;1;0,3333;0,3333;0,17;0,17;0,23;0,14;0,63;1,77;USD;6331,69;70,04;749,36;1103,83;1525,62;586,19;4927,97;I
TRIPADVISOR INC;199356;13168;89694520;TRIP;31/12/2017;3;3;3;1;1;0,29;0,1;-0,01;0,08;0,4;0,67;USD;2272;64;124;235;1484;-19;1556;A
