BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
STERICYCLE INC;SRCL;01/12/2017;9;8;88,89%
STORNOWAY DIAMOND CORPORATION (Northern Empire Minerals Ltd prior to 07/2003) (De-listed 10/2019);SWY;01/12/2017;10;10;100,00%
STRYKER CORP;SYK;01/12/2017;7;6;85,71%
SUNOCO LP (Susser Petroleum Partners LP prior to 10/2014);SUN;01/12/2017;3;3;100,00%
SUNTRUST BANKS INC (De-listed 12/2019);STI;01/12/2017;12;12;100,00%
SYSCO CORP;SYY;01/07/2017;15;8;53,33%
T ROWE PRICE GROUP INC;TROW;01/12/2017;12;10;83,33%
TARGET CORP;DYH;01/01/2017;13;9;69,23%
TE CONNECTIVITY LTD;TEL;01/09/2017;11;10;90,91%
TELUS CORP;T;01/12/2017;14;14;100,00%
TENET HEALTHCARE CORP;THC;01/12/2017;17;17;100,00%
TERADATA CORP;TDC;01/12/2017;11;8;72,73%
TERADYNE INC;TER;01/12/2017;7;5;71,43%
TEXAS INSTRUMENTS INC;TXN;01/12/2017;12;12;100,00%
TEXTRON INC;TXT;01/12/2017;14;13;92,86%
THE CIGNA GROUP (Cigna Corp prior to 02/2023);CI;01/12/2017;11;11;100,00%
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);TRV;01/12/2017;14;11;78,57%
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);TMO;01/12/2017;11;9;81,82%
TIFFANY & CO (De-listed 01/2021);TIF;01/01/2017;10;3;30,00%
TJX COS INC;TJX;01/01/2017;11;6;54,55%
TMX GROUP LTD (TMX Group Inc prior to 09/2012);X;01/12/2017;17;13;76,47%
TOTAL SYSTEM SERVICES INC (TSYS) (De-listed 09/2019);TSS;01/12/2017;13;8;61,54%
TRIPADVISOR INC;TRIP;01/12/2017;7;7;100,00%
TWC ENTERPRISES LTD (ClubLink Enterprises Ltd prior to 06/2014);TWC;01/12/2017;7;7;100,00%
TYSON FOODS INC;TSN;01/09/2017;10;7;70,00%
UNION PACIFIC CORP;UNP;01/12/2017;12;9;75,00%
UNITED PARCEL SERVICE (UPS) INC;UPS;01/12/2017;12;11;91,67%
UNITED STATES STEEL CORP;X;01/12/2017;12;11;91,67%
UNITEDHEALTH GROUP INC;UNH;01/12/2017;12;11;91,67%
UNUM GROUP (UnumProvident Corp prior to 03/2007);UNM;01/12/2017;11;7;63,64%
URBAN OUTFITTERS INC;URBN;01/01/2017;7;2;28,57%
US BANCORP;USB;01/12/2017;16;14;87,50%
VALERO ENERGY CORP;VLO;01/12/2017;10;8;80,00%
VARIAN MEDICAL SYSTEMS INC (De-listed 04/2021);VNM;01/09/2017;11;9;81,82%
VENTAS INC (Vencor Inc prior to 04/1998);VTR;01/12/2017;11;10;90,91%
VERISIGN INC;VRSN;01/12/2017;6;4;66,67%
VERIZON COMMUNICATIONS INC;VZ;01/12/2017;11;7;63,64%
VF CORP;VFC;01/12/2017;14;14;100,00%
VIACOM INC (De-listed 12/2019);VIAB;01/09/2017;11;10;90,91%
VICINITY MOTOR CORP (Grande West Transportation Group Inc prior to 03/2021);VMC;01/12/2017;4;3;75,00%
VISA INC;V;01/09/2017;12;9;75,00%
VORNADO REALTY TRUST;VNO;01/12/2017;9;4;44,44%
VULCAN MATERIALS CO;VMC;01/12/2017;13;12;92,31%
WALL FINANCIAL CORP;WFC;01/01/2017;5;1;20,00%
WALMART INC (Wal-Mart Stores Inc prior to 02/2018);WMT;01/01/2017;16;14;87,50%
WALT DISNEY CO;DIS;01/09/2017;12;11;91,67%
WASTE MANAGEMENT INC;WM;01/12/2017;9;8;88,89%
WATERS CORP;WAT;01/12/2017;9;8;88,89%
WEC ENERGY GROUP INC (Wisconsin Energy Corp prior to 06/2015);WEC;01/12/2017;13;8;61,54%
WELLS FARGO & CO;WFC;01/12/2017;17;14;82,35%
WESTERN DIGITAL CORP;WDC;01/06/2017;8;5;62,50%
WESTERN UNION CO;WU;01/12/2017;9;8;88,89%
WEYERHAEUSER CO;WY;01/12/2017;13;11;84,62%
WHIRLPOOL CORP;WHR;01/12/2017;12;12;100,00%
WHOLE FOODS MARKET INC (De-listed 08/2017);WFM;01/08/2017;15;14;93,33%
WILLIAMS COMPANIES INC;WMB;01/12/2017;10;9;90,00%
WPX ENERGY INC (De-listed 01/2021);WPX;01/12/2017;10;10;100,00%
WW GRAINGER INC;GWW;01/12/2017;11;10;90,91%
WYNN RESORTS LTD;WYNN;01/12/2017;8;7;87,50%
XCEL ENERGY INC;XEL;01/12/2017;12;12;100,00%
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);XRX;01/12/2017;11;10;90,91%
XILINX INC (De-listed 02/2022);XLNX;01/04/2017;10;4;40,00%
XYLEM INC;XYL;01/12/2017;10;9;90,00%
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);YUM;01/12/2017;13;13;100,00%
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);ZION;01/12/2017;12;9;75,00%
