Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
007620;28345;MUR;62671710;31/12/2019;31/12/2019;29/02/2020;1,38;0,15;0,02;0,06;0,5;1,08
001380;28484;HES;42809H10;31/12/2019;31/12/2019;29/02/2020;0,45;0,13;-0,04;0,04;0,55;1,38
003158;30648;COHU;19257610;31/12/2019;31/12/2019;29/02/2020;0,54;0,03;-0,13;-0,03;0,55;1,23
004066;30681;OMC;68191910;31/12/2019;31/12/2019;29/02/2020;0,19;0,09;0,43;0,25;0,87;8,13
004108;30940;FLS;34354P10;31/12/2019;31/12/2019;29/02/2020;0,3;0,11;0,14;0,13;0,63;1,73
007085;34032;MAS;57459910;31/12/2019;31/12/2019;29/02/2020;;0,24;;0,4;1,01;-21,63
004640;34746;FITB;31677310;31/12/2019;31/12/2019;29/02/2020;0,93;0,03;0,14;0,11;0,87;6,99
008030;34817;NUE;67034610;31/12/2019;31/12/2019;29/02/2020;0,64;0,15;0,12;0,13;0,41;0,73
008068;34833;OXY;67459910;31/12/2019;31/12/2019;29/02/2020;0,93;0,13;-0,02;0,08;0,69;2,19
004674;35044;RF;7591EP10;31/12/2019;31/12/2019;29/02/2020;0,93;0,02;0,11;0,11;0,87;6,75
004699;35554;MTB;55261F10;31/12/2019;31/12/2019;29/02/2020;0,65;0,03;0,13;0,14;0,87;6,63
004737;36397;FHN;32051710;31/12/2019;31/12/2019;29/02/2020;0,91;0,02;0,1;0,12;0,88;8
009667;36468;SHW;82434810;31/12/2019;31/12/2019;29/02/2020;0,09;0,15;0,31;0,18;0,8;3,97
011506;38156;WMB;96945710;31/12/2019;31/12/2019;29/02/2020;0,53;0,09;0,06;0,07;0,64;2,22
004040;38682;RRD;25786720;31/12/2019;31/12/2019;29/02/2020;;0,12;;0,14;1,11;-9,64
008007;38703;WFC;94974610;31/12/2019;31/12/2019;29/02/2020;0,78;0,02;0,11;0,08;0,9;9,24
007974;38762;NI;65473P10;31/12/2019;31/12/2019;29/02/2020;0,62;0,08;0,06;0,07;0,74;2,79
001678;39490;APA;03741110;31/12/2019;31/12/2019;29/02/2020;0,37;0,05;-0,64;-0,19;0,72;4,02
007116;39538;MAT;57708110;31/12/2019;31/12/2019;29/02/2020;0,12;0,07;-0,34;0,04;0,91;9,83
006078;40272;IFF;45950610;31/12/2019;31/12/2019;29/02/2020;0,5;0,08;0,07;0,07;0,52;1,12
003650;41080;CMI;23102110;31/12/2019;31/12/2019;29/02/2020;0,29;0,16;0,29;0,25;0,57;1,5
004145;42200;PKI;71404610;31/12/2019;31/12/2019;29/02/2020;0,28;0,1;0,08;0,09;0,57;1,32
005786;42906;HBAN;44615010;31/12/2019;31/12/2019;29/02/2020;0,7;0,02;0,14;0,09;0,89;8,24
010405;43123;ATI;01741R10;31/12/2019;31/12/2019;29/02/2020;0,81;0,1;0,13;0,11;0,61;1,65
010016;43350;SWK;85450210;31/12/2019;31/12/2019;29/02/2020;0,33;0,12;0,12;0,15;0,56;1,25
007154;43449;MCD;58013510;31/12/2019;31/12/2019;29/02/2020;;0,26;;0,28;1,17;-6,79
007970;44206;ES;30040W10;31/12/2019;31/12/2019;29/02/2020;0,58;0,07;0,06;0,07;0,69;2,22
001913;44601;AVY;05361110;31/12/2019;31/12/2019;29/02/2020;0,11;0,19;0,27;0,27;0,78;3,56
007065;45751;MMC;57174810;31/12/2019;31/12/2019;29/02/2020;0,15;0,15;0,21;0,19;0,75;3
005125;46674;GPC;37246010;31/12/2019;31/12/2019;29/02/2020;0,25;0,1;0,16;0,15;0,75;2,98
002968;47896;JPM;46625H10;31/12/2019;31/12/2019;29/02/2020;0,56;0,03;0,15;0,08;0,9;9,28
004988;47941;TGNA;87901J10;31/12/2019;31/12/2019;29/02/2020;0,58;0,12;0,15;0,12;0,77;3,37
139665;48506;MCO;61536910;31/12/2019;31/12/2019;29/02/2020;0,02;0,23;2,08;0,32;0,92;15,41
027914;48653;HUM;44485910;31/12/2019;31/12/2019;29/02/2020;0,26;0,14;0,24;0,19;0,59;1,42
010867;48725;UNP;90781810;31/12/2019;31/12/2019;29/02/2020;0,24;0,18;0,19;0,19;0,71;2,4
006742;49015;LNC;53418710;31/12/2019;31/12/2019;29/02/2020;1,91;0;0,05;0,06;0,94;16
002019;49656;BK;06405810;31/12/2019;31/12/2019;29/02/2020;0,89;0,02;0,11;0,09;0,89;8,19
003735;49680;DHR;23585110;31/12/2019;31/12/2019;29/02/2020;0,27;0,08;0,09;0,08;0,51;1,05
