Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
ILLINOIS TOOL WORKS;5878;56573;45230810;ITW;31/12/2018;5;5;2;1;0,4;0,1;0,26;0,59;0,3;0,78;3,57;USD;14870;364;3584;4045;6436;2563;14768;A
INTEL CORP;6008;59328;45814010;INTC;31/12/2018;4;3;2;0,75;0,5;0,36;0,26;0,28;0,24;0,41;0,71;USD;127963;15181;23244;32329;52622;21053;70848;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2018;4;4;2;1;0,5;0,46;0,04;0,1;0,11;0,81;4,39;USD;92791;;;;;;;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2018;4;4;2;1;0,5;0,46;0,04;0,1;0,11;0,81;4,39;USD;92791;280;2620;3202;3916;1988;6271;A
INTL BUSINESS MACHINES CORP;6066;12490;45920010;IBM;31/12/2018;6;5;6;0,8333;1;0,2;0,14;0,45;0,2;0,86;6,34;USD;123382;3396;12961;17441;41735;8728;79591;A
INTL FLAVORS & FRAGRANCES;6078;40272;45950610;IFF;31/12/2018;5;5;5;1;1;0,47;0,1;0,08;0,1;0,52;1,12;USD;12889,4;170,09;677,33;840,14;1788,33;337,3;3977,54;A
INTERPUBLIC GROUP OF COS;6136;53065;46069010;IPG;31/12/2018;9;7;9;0,7778;1;0,33;0,09;0,24;0,22;0,83;5,44;USD;15620,3;177,1;1043,8;1246,7;1378,2;618,9;9714,4;A
INTUITIVE SURGICAL INC;136725;88352;46120E60;ISRG;31/12/2018;5;2;2;0,4;0,4;0,12;0,2;0,2;0,22;0,15;0,17;USD;7846,7;187,4;1244,6;1364,7;2724,2;1127,9;3724,2;A
JOHNSON & JOHNSON;6266;22111;47816010;JNJ;31/12/2018;4;4;1;1;0,25;0,2;0,18;0,23;0,23;0,61;1,56;USD;152954;3670;21389;28318;61633;15297;81581;A
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2018;5;5;5;1;1;0,74;0,03;0,14;0,08;0,9;9,22;USD;2622532;;;;;;;A
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2018;5;5;5;1;1;0,74;0,03;0,14;0,08;0,9;9,22;USD;2622532;0;59298;67089;104158;32474;131412;A
JUNIPER NETWORKS INC;121718;86979;48203R10;JNPR;31/12/2018;3;2;2;0,6667;0,6667;0,52;0,08;0,12;0,09;0,48;0,94;USD;9363,3;147,4;598,4;809;2949,6;566,9;4647,5;A
KELLANOVA;6375;26825;48783610;K;31/12/2018;5;5;2;1;0,4;0,17;0,14;0,45;0,17;0,82;5,62;USD;17780;578;1887;2403;5343;1336;13547;A
KEYCORP;9783;64995;49326710;KEY;31/12/2018;4;3;2;0,75;0,5;0,94;0,02;0,13;0,11;0,89;7,95;USD;139613;;;;;;;A
KEYCORP;9783;64995;49326710;KEY;31/12/2018;4;3;2;0,75;0,5;0,94;0,02;0,13;0,11;0,89;7,95;USD;139613;99;3258;3258;6100;1866;7315;A
KEYCORP;9783;64995;49326710;KEY;31/12/2018;4;4;0;1;0;0,94;0,02;0,13;0,11;0,89;7,95;USD;139613;;;;;;;A
KEYCORP;9783;64995;49326710;KEY;31/12/2018;4;4;0;1;0;0,94;0,02;0,13;0,11;0,89;7,95;USD;139613;99;3258;3258;6100;1866;7315;A
KIMBERLY-CLARK CORP;6435;17750;49436810;KMB;31/12/2018;6;4;6;0,6667;1;;0,27;;0,41;1;-50,52;USD;14518;877;3151;4033;7020;1410;18486;A
KINDER MORGAN INC;6310;12558;49456B10;KMI;31/12/2018;5;5;4;1;0,8;0,97;0,08;0,05;0,06;0,55;1,3;USD;78866;2904;3958;6255;6255;1609;14144;A
LABCORP HOLDINGS INC;14960;12062;50540R40;LH;31/12/2018;14;6;8;0,4286;0,5714;0,63;0,12;0,11;0,11;0,57;1,32;USD;16185,3;379,8;1491,6;2034,8;3520,6;883,7;11333,4;A
LEGGETT & PLATT INC;6649;60943;52466010;LEG;31/12/2018;9;6;7;0,6667;0,7778;0,27;0,17;0,24;0,2;0,66;1,92;USD;3382;159,6;467,3;592,1;997,6;305,9;4269,5;A
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2018;4;4;0;1;0;;0,21;;0,44;1,14;-8,26;USD;9409;197;1479;1839;3730;966;7343;A
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2018;5;2;1;0,4;0,2;1,47;0,01;0,09;0,1;0,95;19,78;USD;298147;;;;;;;A
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2018;5;2;1;0,4;0,2;1,47;0,01;0,09;0,1;0,95;19,78;USD;298147;0;2121;;2121;1641;16202;A
LOEWS CORP;6781;26710;54042410;L;31/12/2018;7;6;0;0,8571;0;1,36;0,03;0,03;0,04;0,73;3,07;USD;78316;;;;;;;A
LOEWS CORP;6781;26710;54042410;L;31/12/2018;7;6;0;0,8571;0;1,36;0,03;0,03;0,04;0,73;3,07;USD;78316;995;1313;2225;2225;636;14044;A
LOCKHEED MARTIN CORP;6774;21178;53983010;LMT;31/12/2018;6;6;5;1;0,8333;0,02;0,19;;0,51;0,97;31,15;USD;44876;1278;7455;8616;8616;5046;53762;A
LOEWS CORP;6781;26710;54042410;L;31/12/2018;7;1;2;0,1429;0,2857;1,36;0,03;0,03;0,04;0,73;3,07;USD;78316;;;;;;;A
LOEWS CORP;6781;26710;54042410;L;31/12/2018;7;1;2;0,1429;0,2857;1,36;0,03;0,03;0,04;0,73;3,07;USD;78316;995;1313;2225;2225;636;14044;A
M & T BANK CORP;4699;35554;55261F10;MTB;31/12/2018;5;5;2;1;0,4;0,72;0,03;0,13;0,14;0,87;6,77;USD;120097,4;;;;;;;A
M & T BANK CORP;4699;35554;55261F10;MTB;31/12/2018;5;5;2;1;0,4;0,72;0,03;0,13;0,14;0,87;6,77;USD;120097,4;97,68;3566,21;3745,21;5796,3;1918,08;6454,71;A
MARATHON PETROLEUM CORP;186989;12872;56585A10;MPC;31/12/2018;10;10;6;1;0,6;1;0,11;0,1;0,12;0,52;1,36;USD;92940;3578;5170;7660;9881;2780;96504;A
MARRIOTT INTL INC;28930;85913;57190320;MAR;31/12/2018;5;4;5;0,8;1;0,07;0,12;0,54;0,21;0,91;9,65;USD;23696;556;2521;2894;2894;1907;20758;A
MARSH & MCLENNAN COS;7065;45751;57174810;MMC;31/12/2018;6;6;5;1;0,8333;0,2;0,16;0,21;0,23;0,65;1,86;USD;21578;314;2966;3460;3460;1650;14950;A
MASCO CORP;7085;34032;57459910;MAS;31/12/2018;9;8;8;0,8889;0,8889;;0,26;;0,43;0,99;-47,96;USD;5393;219;1265;1415;2893;734;8359;A
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2018;6;6;2;1;0,3333;0,03;0,38;1,06;0,74;0,78;3,59;USD;24860;;;;;;;A
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2018;6;6;2;1;0,3333;0,03;0,38;1,06;0,74;0,78;3,59;USD;24860;330;8410;8869;8869;5859;14950;A
MATTEL INC;7116;39538;57708110;MAT;31/12/2018;7;6;6;0,8571;0,8571;0,21;0,04;-0,52;-0,01;0,87;6,98;USD;5238,23;152,41;-51,31;220,63;2072,57;-533,3;4544,31;A
MERCK & CO;7257;22752;58933Y10;MRK;31/12/2018;4;4;2;1;0,5;0,14;0,16;0,19;0,16;0,67;2,09;USD;82637;2615;9087;13404;33123;6220;42294;A
METLIFE INC;133768;87842;59156R10;MET;31/12/2018;9;9;6;1;0,6667;1,39;0,01;0,09;0,1;0,92;11,3;USD;687538;;;;;;;A
METLIFE INC;133768;87842;59156R10;MET;31/12/2018;9;9;6;1;0,6667;1,39;0,01;0,09;0,1;0,92;11,3;USD;687538;0;7585;8366;13517;5123;67957;A
3M CO;7435;22592;88579Y10;MMM;31/12/2018;3;3;0;1;0;0,09;0,25;0,49;0,31;0,73;2,72;USD;36500;1577;7684;9172;17588;5349;32765;A
MOLSON COORS BEVERAGE CO;3505;59248;60871R20;TAP;31/12/2018;4;3;2;0,75;0,5;1,29;0,07;0,07;0,06;0,54;1,21;USD;30109,8;651,7;1425,8;2252,6;4792,4;1116,5;10769,6;A
MONSTER BEVERAGE CORP;24316;88031;61174X10;MNST;31/12/2018;5;1;3;0,2;0,6;0,13;0,29;0,26;0,34;0,2;0,25;USD;4526,89;61,94;1283,62;1340,6;2352,35;993;3807,18;A
MOODY'S CORP;139665;48506;61536910;MCO;31/12/2018;16;15;14;0,9375;0,875;0,03;0,23;;0,34;0,93;19,29;USD;9526,2;90,4;1925,2;2117,1;3197,2;1309,6;4442,7;A
MORGAN STANLEY;12124;69032;61744644;MS;31/12/2018;4;4;3;1;0,75;1,06;0,03;0,12;0,05;0,9;9,61;USD;853531;;;;;;;A
MORGAN STANLEY;12124;69032;61744644;MS;31/12/2018;4;4;3;1;0,75;1,06;0,03;0,12;0,05;0,9;9,61;USD;853531;1865;20068;21912;21912;8748;50193;A
MOSAIC CO;162129;90386;61945C10;MOS;31/12/2018;8;7;4;0,875;0,5;1,02;0,1;0,04;0,07;0,47;0,92;USD;20119,2;954,5;1099,4;2025,6;2454,6;470;9587,3;A
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2018;4;4;4;1;1;;0,21;;0,44;1,14;-8,26;USD;9409;197;1479;1839;3730;966;7343;A
MURPHY OIL CORP;7620;28345;62671710;MUR;31/12/2018;5;2;2;0,4;0,4;1,23;0,16;0,09;0,07;0,53;1,21;USD;11052,59;1897,43;580,23;1636,86;1916,69;411,09;2544,65;A
NASDAQ INC;149337;90601;63110310;NDAQ;31/12/2018;6;6;5;1;0,8333;0,44;0,08;0,07;0,11;0,65;1,88;USD;15700;;;;;;;A
NASDAQ INC;149337;90601;63110310;NDAQ;31/12/2018;6;6;5;1;0,8333;0,44;0,08;0,07;0,11;0,65;1,88;USD;15700;111;1083;1293;1293;458;4277;A
NETFLIX INC;147579;89393;64110L10;NFLX;31/12/2018;3;1;1;0,3333;0,3333;0,04;0,08;0,27;0,13;0,8;3,96;USD;25974,4;173,95;1605,23;1688,38;5909,96;1211,24;15794,34;A
NEWELL BRANDS INC;7875;60986;65122910;NWL;31/12/2018;8;6;5;0,75;0,625;0,8;0,04;-0,57;0,04;0,7;2,37;USD;17716,4;384,4;728;1084;3358,7;-6917,9;8630,9;A
NEWMONT CORP;7881;21207;65163910;NEM;31/12/2018;12;12;10;1;0,8333;0,6;0,11;0,03;0,06;0,44;0,88;USD;20715;1032;848;2226;2820;341;7253;A
NEXTERA ENERGY INC;4517;24205;65339F10;NEE;31/12/2018;7;7;2;1;0,2857;0,5;0,08;0,18;0,06;0,63;1,93;USD;103702;5279;4315;8226;8226;6638;16727;A
NISOURCE INC;7974;38762;65473P10;NI;31/12/2018;7;7;4;1;0,5714;0,66;0,07;-0,01;0,07;0,74;2,79;USD;21804;1818,2;955,3;1554,9;1554,9;-50,6;5114,5;A
NOBLE ENERGY INC;7912;61815;65504410;NBL;31/12/2018;6;3;2;0,5;0,3333;1,16;0,1;-0,01;0,01;0,5;1,12;USD;21010;3279;239;2174;2688;-66;4461;I
NORFOLK SOUTHERN CORP;7923;64311;65584410;NSC;31/12/2018;5;4;5;0,8;1;0,54;0,14;0,12;0,15;0,58;1,36;USD;36239;1951;3881;4983;4983;2666;11458;A
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2018;5;4;5;0,8;1;0,55;0,03;0,16;0,14;0,92;11,58;USD;132212,5;;;;;;;A
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2018;5;4;5;0,8;1;0,55;0,03;0,16;0,14;0,92;11,58;USD;132212,5;97,6;3157,2;3618,1;5982,8;1556,4;6667;A
NORTHROP GRUMMAN CORP;7985;24766;66680710;NOC;31/12/2018;7;4;3;0,5714;0,4286;0,2;0,13;0,42;0,17;0,78;3,6;USD;37653;1249;3809;4609;7620;3229;30095;A
NOV INC;63892;84032;63707110;NOV;31/12/2018;5;4;5;0,8;1;1,46;0,05;0;0,01;0,3;0,43;USD;19796;244;211;901;2134;-31;8453;A
NRG ENERGY INC;135990;90071;62937750;NRG;31/12/2018;8;7;5;0,875;0,625;;0,09;;0,1;1,11;-9,6;USD;10628;388;1101;1522;1522;268;9478;A
NUCOR CORP;8030;34817;67034610;NUE;31/12/2018;8;5;2;0,625;0,25;0,64;0,24;0,25;0,25;0,43;0,79;USD;17920,59;982,53;3386,59;4106,22;4987,45;2360,77;25067,28;A
O'REILLY AUTOMOTIVE INC;28180;79103;67103H10;ORLY;31/12/2018;6;3;1;0,5;0,1667;0,02;0,27;2,21;0,49;0,96;21,57;USD;7980,79;504,27;1815,18;2075,02;5299,8;1324,49;9536,43;A
O-I GLASS INC;8215;77157;69076840;OI;31/12/2018;8;8;5;1;0,625;0,33;0,12;0,16;0,12;0,91;11,19;USD;9699;536;708;1148;1701;257;6890;A
OCCIDENTAL PETROLEUM CORP;8068;34833;67459910;OXY;31/12/2018;6;6;6;1;1;0,48;0,2;0,19;0,15;0,51;1,06;USD;43854;4975;4659;8636;10359;4131;17824;A
OMNICOM GROUP INC;4066;30681;68191910;OMC;31/12/2018;6;5;5;0,8333;0,8333;0,18;0,1;0,44;0,28;0,86;8,35;USD;24617;195,7;2104,5;2368,5;2821,7;1326,4;15290,2;A
ONEOK INC;8151;25232;68268010;OKE;31/12/2018;4;3;4;0,75;1;0,31;0,13;0,19;0,12;0,64;1,77;USD;18231,67;2141,48;1834,86;2263,42;2263,42;1151,7;12593,2;A
PACCAR INC;8253;60506;69371810;PCAR;31/12/2018;5;5;5;1;1;0,47;0,16;0,24;0,16;0,66;1,97;USD;25482,4;1952,3;2875,4;3929,5;4896,8;2195,1;23495,7;A
PEABODY ENERGY CORP;142460;16689;70455110;BTU;31/12/2018;3;3;3;1;1;1,01;0,17;0,2;0,13;0,54;1,17;USD;7423,7;688,4;619,1;1351,1;1509,2;646,6;5581,8;A
PPL CORP;8455;22517;69351T10;PPL;31/12/2018;6;6;2;1;0,3333;0,71;0,09;0,13;0,09;0,73;2,72;USD;43396;3238;2865;3959;3959;1827;7785;A
PEOPLE'S UNITED FINL INC;16245;12073;71270410;PBCT;31/12/2018;7;3;4;0,4286;0,5714;1,17;0,02;0,08;0,07;0,86;6,33;USD;47877,3;;;;;;;I
PEOPLE'S UNITED FINL INC;16245;12073;71270410;PBCT;31/12/2018;7;3;4;0,4286;0,5714;1,17;0,02;0,08;0,07;0,86;6,33;USD;47877,3;87,9;783,2;841,3;1572,4;468,1;1922,7;I
PEPSICO INC;8479;13856;71344810;PEP;31/12/2018;5;5;4;1;0,8;0,12;0,16;0,78;0,22;0,81;4,34;USD;77648;3282;10457;12856;37682;12515;64661;A
PFIZER INC;8530;21936;71708110;PFE;31/12/2018;6;5;5;0,8333;0,8333;0,27;0,13;0,16;0,14;0,6;1,51;USD;159422;2042;15434;21818;44009;11153;53647;A
PG&E CORP;8264;13688;69331C10;PCG;31/12/2018;6;6;6;1;1;1,29;0,08;-0,33;0,07;0,83;4,97;USD;76995;6514;2705;5741;5741;-6837;16759;A
PHILIP MORRIS INTERNATIONAL;179621;92602;71817210;PM;31/12/2018;6;5;1;0,8333;0,1667;;0,3;;0,55;1,27;-4,06;USD;39801;1436;11377;12366;19774;7911;29625;A
PINNACLE WEST CAPITAL CORP;1075;27991;72348410;PNW;31/12/2018;6;4;2;0,6667;0,3333;0,76;0,08;0,07;0,08;0,7;2,36;USD;17664,2;1203,35;773,69;1356,04;1356,04;511,05;3691,25;A
PIONEER NATURAL RESOURCES CO;14359;75241;72378710;PXD;31/12/2018;14;14;10;1;0,7143;0,59;0,2;0,08;0,11;0,32;0,48;USD;17903;3783;1514;3511;4000;978;9379;I
PITNEY BOWES INC;8606;24459;72447910;PBI;31/12/2018;7;4;5;0,5714;0,7143;0,48;0,09;0,44;0,1;0,96;23,94;USD;5972,9;191,44;380,73;584,02;1832,72;223,67;3522,38;A
PNC FINANCIAL SVCS GROUP INC;8245;60442;69347510;PNC;31/12/2018;6;4;2;0,6667;0,3333;0,86;0,02;0,12;0,08;0,88;7,01;USD;382315;;;;;;;A
PNC FINANCIAL SVCS GROUP INC;8245;60442;69347510;PNC;31/12/2018;6;4;2;0,6667;0,3333;0,86;0,02;0,12;0,08;0,88;7,01;USD;382315;0;8203;9332;16724;5301;19993;A
PPG INDUSTRIES INC;8247;22509;69350610;PPG;31/12/2018;5;5;5;1;1;0,21;0,15;0,24;0,19;0,7;2,44;USD;16015;411;1881;2369;6383;1341;15384;A
PPL CORP;8455;22517;69351T10;PPL;31/12/2018;7;7;6;1;0,8571;0,71;0,09;0,13;0,09;0,73;2,72;USD;43396;3238;2865;3959;3959;1827;7785;A
PRINCIPAL FINANCIAL GRP INC;145701;89195;74251V10;PFG;31/12/2018;6;5;1;0,8333;0,1667;1;0,01;0,12;0,11;0,95;20,3;USD;243036,1;;;;;;;A
PRINCIPAL FINANCIAL GRP INC;145701;89195;74251V10;PFG;31/12/2018;6;5;1;0,8333;0,1667;1;0,01;0,12;0,11;0,95;20,3;USD;243036,1;92,3;1770;1975,1;1975,1;1546,5;14075,6;A
PROGRESSIVE CORP-OHIO;13341;64390;74331510;PGR;31/12/2018;6;3;5;0,5;0,8333;0,29;0,08;0,26;0,24;0,76;3,28;USD;46575;;;;;;;A
PROGRESSIVE CORP-OHIO;13341;64390;74331510;PGR;31/12/2018;6;3;5;0,5;0,8333;0,29;0,08;0,26;0,24;0,76;3,28;USD;46575;266;3330,1;3596,5;3596,5;2615,3;31954,7;A
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2018;3;3;3;1;1;1,45;0,01;0,08;0,08;0,94;15,76;USD;815078;;;;;;;A
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2018;3;3;3;1;1;1,45;0,01;0,08;0,08;0,94;15,76;USD;815078;0;6240;6401;16789;4074;62998;A
PUBLIC SERVICE ENTRP GRP INC;8810;23712;74457310;PEG;31/12/2018;9;9;6;1;0,6667;0,77;0,08;0,07;0,08;0,68;2,15;USD;45326;3912;2247;3405;3405;1438;9696;A
PULTEGROUP INC;8823;54148;74586710;PHM;31/12/2018;7;7;6;1;0,8571;0,67;0,14;0,23;0,17;0,53;1,11;USD;10172,98;59,04;1330,6;1380,03;2392,05;1022,02;10188,33;A
QEP RESOURCES INC;154357;93422;74733V10;QEP;31/12/2018;6;6;6;1;1;2,27;-0,05;-0,28;-0,22;0,55;1,22;USD;6117,8;1299,7;-1231,1;-337,7;-170;-1011,6;1932,6;I
QUANTA SERVICES INC;66446;85792;74762E10;PWR;31/12/2018;3;3;3;1;1;0,9;0,12;0,08;0,13;0,49;0,96;USD;7075,79;293,6;596,96;843,47;1682,48;293,35;11171,42;A
DONNELLEY (R R) & SONS CO;4040;38682;25786720;RRD;31/12/2018;8;8;8;1;1;;0,11;;0,14;1,07;-14,94;USD;3640,8;104,4;251,9;433,3;1255,4;-11;6800,2;I
RANGE RESOURCES CORP;6788;50017;75281A10;RRC;31/12/2018;5;5;5;1;1;1,98;0,12;-0,31;0,01;0,58;1,39;USD;9708,15;1023;98,98;1249,44;1459,77;-1746,48;3281,93;A
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2018;3;3;0;1;0;1,65;0,16;0,07;0,07;0,78;3,48;USD;13051,08;3050,41;601,42;2004,39;2859,19;273,3;8409,22;A
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2018;6;5;5;0,8333;0,8333;1,04;0,02;0,11;0,11;0,88;7,33;USD;125688;;;;;;;A
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2018;6;5;5;0,8333;0,8333;1,04;0,02;0,11;0,11;0,88;7,33;USD;125688;151;2918;2918;5525;1759;6412;A
REPUBLIC SERVICES INC;112168;86228;76075910;RSG;31/12/2018;6;6;3;1;0,5;0,34;0,13;0,13;0,1;0,63;1,73;USD;21617;1071,8;1669,1;2803,8;3851,3;1036,9;10040,9;A
ROBERT HALF INC;2312;52230;77032310;RHI;31/12/2018;3;3;2;1;0,6667;0,16;0,35;0,4;0,54;0,44;0,79;USD;1903,1;42,48;587,22;653,17;2474,26;434,29;5800,27;A
ROPER TECHNOLOGIES INC;24925;77338;77669610;ROP;31/12/2018;4;4;3;1;0,75;0,31;0,12;0,12;0,11;0,49;0,97;USD;15249,5;49,1;1396,4;1762,4;3645,5;944,4;5191,2;A
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2018;5;2;5;0,4;1;1,65;0,16;0,07;0,07;0,78;3,48;USD;13051,08;3050,41;601,42;2004,39;2859,19;273,3;8409,22;A
SEALED AIR CORP;9555;85926;81211K10;SEE;31/12/2018;6;6;3;1;0,5;;0,17;;0,22;1,07;-15,49;USD;5050,2;168,6;725;856,6;1618;193,1;4732,7;A
SEMPRA ENERGY;8272;86136;81685110;SRE;31/12/2018;6;6;1;1;0,1667;0,59;0,07;0,06;0,07;0,68;2,41;USD;60638;3784;2593;4142;4142;1050;11687;A
SHERWIN-WILLIAMS CO;9667;36468;82434810;SHW;31/12/2018;4;4;3;1;0,75;0,13;0,16;0,22;0,19;0,81;4,13;USD;19134,28;250,96;2551,07;3147,35;7696,73;1108,75;17534,49;A
SLM CORP;20430;66325;78442P10;SLM;31/12/2018;6;6;3;1;0,5;0,71;0,03;0,21;0,11;0,89;7,96;USD;26638,17;;;;;;;A
SLM CORP;20430;66325;78442P10;SLM;31/12/2018;6;6;3;1;0,5;0,71;0,03;0,21;0,11;0,89;7,96;USD;26638,17;0;692,36;706,18;706,18;487,48;1883,54;A
SNAP-ON INC;9778;60206;83303410;SNA;31/12/2018;4;4;4;1;1;0,39;0,2;0,22;0,23;0,42;0,73;USD;5373,1;90,9;951,8;1045,9;2194,2;679,9;4070,4;A
SOUTHERN CO;9850;18411;84258710;SO;31/12/2018;6;6;2;1;0,3333;0,74;0,07;0,07;0,07;0,75;3,5;USD;116914;8001;5253;8384;8384;2242;23495;A
SOUTHWEST AIRLINES;9882;58683;84474110;LUV;31/12/2018;5;3;5;0,6;1;0,48;0,17;0,2;0,23;0,62;1,66;USD;26243;1976;3206;4407;7259;2465;21965;A
SOUTHWESTERN ENERGY CO;9904;63765;84546710;SWN;31/12/2018;4;3;4;0,75;1;1,27;0,24;0,25;0,18;0,59;1,45;USD;5797;1290;1016;1576;1576;537;3862;A
STANLEY BLACK & DECKER INC;10016;43350;85450210;SWK;31/12/2018;6;6;4;1;0,6667;0,43;0,11;0,08;0,15;0,6;1,48;USD;19408;492,1;1676,8;2183,3;5197,2;605,2;13982,4;A
STERICYCLE INC;63527;83906;85891210;SRCL;31/12/2018;6;6;2;1;0,3333;0,87;0,09;-0,09;0,06;0,6;1,49;USD;6455,5;130,8;353,6;609,5;1502;-244,7;3485,9;A
STRYKER CORP;10115;73139;86366710;SYK;31/12/2018;5;5;4;1;0,8;0,2;0,15;0,33;0,16;0,57;1,32;USD;27229;572;3100;3823;9288;3553;13601;A
PRICE (T. ROWE) GROUP;12138;10138;74144T10;TROW;31/12/2018;6;6;3;1;0,5;0,28;0,33;0,31;0,39;0,11;0,13;USD;7689,3;;;;;;;A
PRICE (T. ROWE) GROUP;12138;10138;74144T10;TROW;31/12/2018;6;6;3;1;0,5;0,28;0,33;0,31;0,39;0,11;0,13;USD;7689,3;168,5;2355,2;2514,7;2514,7;1837,5;5372,6;A
AT&T INC;9899;66093;00206R10;T;31/12/2018;9;9;3;1;0,3333;1,16;0,12;0,09;0,08;0,64;1,84;USD;531864;21251;28144;56574;91386;19370;170805;A
TENET HEALTHCARE CORP;7750;52337;88033G40;THC;31/12/2018;8;8;6;1;0,75;;0,11;;0,11;0,91;-170,61;USD;22409;617;1617;2419;2419;111;18313;A
TERADATA CORP;178310;92293;88076W10;TDC;31/12/2018;4;3;1;0,75;0,25;0,11;0,09;0,05;0,07;0,79;3,77;USD;2360;153;86;216;1154;30;2164;A
TERADYNE INC;10453;51369;88077010;TER;31/12/2018;3;1;3;0,3333;1;0,28;0,2;0,26;0,23;0,44;0,78;USD;2706,61;114,38;489,43;596,04;1288,21;451,78;2100,8;A
TEXAS INSTRUMENTS INC;10499;15579;88250810;TXN;31/12/2018;14;14;4;1;0,2857;0,1;0,44;0,57;0,47;0,48;0,91;USD;17137;1131;6716;7670;10913;5580;15784;A
TEXTRON INC;10519;23579;88320310;TXT;31/12/2018;9;9;5;1;0,5556;0,49;0,1;0,22;0,12;0,64;1,75;USD;14264;369;1103;1527;2802;1222;13972;A
CIGNA GROUP (THE);2547;64186;12552310;CI;31/12/2018;7;7;5;1;0,7143;0,7;0,05;0,08;0,09;0,73;2,73;USD;153226;;;;;;;A
CIGNA GROUP (THE);2547;64186;12552310;CI;31/12/2018;7;7;5;1;0,7143;0,7;0,05;0,08;0,09;0,73;2,73;USD;153226;528;4774;5453;17360;2637;48489;A
TRAVELERS COS INC;62689;59459;89417E10;TRV;31/12/2018;6;5;4;0,8333;0,6667;0,73;0,04;0,11;0,1;0,78;3,55;USD;104233;;;;;;;A
TRAVELERS COS INC;62689;59459;89417E10;TRV;31/12/2018;6;5;4;0,8333;0,6667;0,73;0,04;0,11;0,1;0,78;3,55;USD;104233;0;2948;3751;7245;2523;29917;A
THERMO FISHER SCIENTIFIC INC;10530;62092;88355610;TMO;31/12/2018;5;5;4;1;0,8;0,33;0,11;0,1;0,08;0,51;1,04;USD;56232;758;3918;6184;11916;2938;24358;A
TOTAL SYSTEM SERVICES INC;10631;76639;89190610;TSS;31/12/2018;3;1;1;0,3333;0,3333;0,2;0,18;0,21;0,14;0,65;1,89;USD;7468,71;113,27;851,74;1259,77;1741,66;576,66;4028,21;I
TRIPADVISOR INC;199356;13168;89694520;TRIP;31/12/2018;3;3;3;1;1;0,2;0,14;0,08;0,12;0,32;0,47;USD;2167;61;188;304;1529;113;1615;A
UNION PACIFIC CORP;10867;48725;90781810;UNP;31/12/2018;7;6;4;0,8571;0,5714;0,32;0,18;0,18;0,2;0,65;1,9;USD;59147;3437;8542;10733;10733;5966;22832;A
UNITED PARCEL SERVICE INC;10920;87447;91131210;UPS;31/12/2018;6;5;6;0,8333;1;0,06;0,2;1,5;0,29;0,94;15,55;USD;50016;6283;7384;9591;9591;4791;71861;A
UNITED STATES STEEL CORP;23978;76644;91290910;X;31/12/2018;6;6;3;1;0,5;1,32;0,15;0,3;0,16;0,62;1,61;USD;10982;1001;1016;1537;1873;1115;14178;A
UNITEDHEALTH GROUP INC;10903;92655;91324P10;UNH;31/12/2018;5;5;5;1;1;0,23;0,14;0,23;0,21;0,63;1,86;USD;152221;;;;;;;A
UNITEDHEALTH GROUP INC;10903;92655;91324P10;UNH;31/12/2018;5;5;5;1;1;0,23;0,14;0,23;0,21;0,63;1,86;USD;152221;2063;17344;19772;53846;11986;226247;A
UNUM GROUP;12726;71175;91529Y10;UNM;31/12/2018;5;4;5;0,8;1;1,37;0,01;0,06;0,06;0,86;6,18;USD;61875,6;;;;;;;A
UNUM GROUP;12726;71175;91529Y10;UNM;31/12/2018;5;4;5;0,8;1;1,37;0,01;0,06;0,06;0,86;6,18;USD;61875,6;144,1;795,8;903,6;903,6;523,4;11599,2;A
