BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
ROWAN COMPANIES PLC (Rowan Companies Inc prior to 05/2012) (De-listed 04/2019);RDC;01/04/2019;9;9;100,00%
RYDER SYSTEM INC;R;01/12/2019;11;8;72,73%
SALESFORCE INC (Salesforce.com Inc prior to 04/2022);CRM;01/01/2019;10;6;60,00%
SCANA CORP (De-listed 01/2019);SCG;01/01/2019;11;8;72,73%
SCHLUMBERGER LIMITED;SLB;01/12/2019;13;11;84,62%
SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021);STX;01/06/2019;10;7;70,00%
SEALED AIR CORP;SEE;01/12/2019;9;7;77,78%
SEMPRA (Sempra Energy prior to 05/2023);SRE;01/12/2019;16;15;93,75%
SHERRITT INTERNATIONAL CORPORATION;S;01/12/2019;7;6;85,71%
SHERWIN-WILLIAMS CO;SHW;01/12/2019;11;11;100,00%
SIMON PROPERTY GROUP INC;SPG;01/12/2019;10;5;50,00%
SLM CORP (SALLIE MAE);SLM;01/12/2019;13;12;92,31%
SNAP-ON INC;SNA;01/12/2019;9;9;100,00%
SOUTHERN CO;SO;01/12/2019;15;14;93,33%
SOUTHWEST AIRLINES CO;LUV;01/12/2019;11;7;63,64%
SOUTHWESTERN ENERGY CO;SWN;01/12/2019;9;5;55,56%
SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023);SPG;01/12/2019;9;9;100,00%
SPRINT CORP (Sprint Nextel Corp prior to 07/2013) (De-listed 04/2020);S;01/03/2019;9;7;77,78%
STANLEY BLACK & DECKER INC;SWK;01/12/2019;10;9;90,00%
STARBUCKS CORP;SBUX;01/09/2019;11;11;100,00%
STATE STREET CORP;STT;01/12/2019;13;9;69,23%
STERICYCLE INC;SRCL;01/12/2019;10;10;100,00%
STORNOWAY DIAMOND CORPORATION (Northern Empire Minerals Ltd prior to 07/2003) (De-listed 10/2019);SWY;01/10/2019;11;11;100,00%
STRYKER CORP;SYK;01/12/2019;9;8;88,89%
SUNOCO LP (Susser Petroleum Partners LP prior to 10/2014);SUN;01/12/2019;3;3;100,00%
SUNTRUST BANKS INC (De-listed 12/2019);STI;01/12/2019;12;12;100,00%
SYSCO CORP;SYY;01/06/2019;14;11;78,57%
T ROWE PRICE GROUP INC;TROW;01/12/2019;12;12;100,00%
TARGET CORP;DYH;01/02/2019;12;10;83,33%
TE CONNECTIVITY LTD;TEL;01/09/2019;11;10;90,91%
TELUS CORP;T;01/12/2019;12;11;91,67%
TENET HEALTHCARE CORP;THC;01/12/2019;11;11;100,00%
TERADATA CORP;TDC;01/12/2019;13;12;92,31%
TERADYNE INC;TER;01/12/2019;6;4;66,67%
TEXAS INSTRUMENTS INC;TXN;01/12/2019;11;11;100,00%
THE CIGNA GROUP (Cigna Corp prior to 02/2023);CI;01/12/2019;13;9;69,23%
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);TRV;01/12/2019;12;11;91,67%
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);TMO;01/12/2019;13;8;61,54%
TIFFANY & CO (De-listed 01/2021);TIF;01/01/2019;13;8;61,54%
TJX COS INC;TJX;01/02/2019;11;4;36,36%
TMX GROUP LTD (TMX Group Inc prior to 09/2012);X;01/12/2019;14;6;42,86%
TOTAL SYSTEM SERVICES INC (TSYS) (De-listed 09/2019);TSS;01/09/2019;12;11;91,67%
TRIPADVISOR INC;TRIP;01/12/2019;8;8;100,00%
TWC ENTERPRISES LTD (ClubLink Enterprises Ltd prior to 06/2014);TWC;01/12/2019;8;8;100,00%
TYSON FOODS INC;TSN;01/09/2019;10;7;70,00%
UNION PACIFIC CORP;UNP;01/12/2019;11;9;81,82%
UNITED PARCEL SERVICE (UPS) INC;UPS;01/12/2019;13;11;84,62%
UNITED STATES STEEL CORP;X;01/12/2019;11;11;100,00%
UNITEDHEALTH GROUP INC;UNH;01/12/2019;9;8;88,89%
UNUM GROUP (UnumProvident Corp prior to 03/2007);UNM;01/12/2019;11;11;100,00%
URBAN OUTFITTERS INC;URBN;01/01/2019;10;7;70,00%
US BANCORP;USB;01/12/2019;17;16;94,12%
VALERO ENERGY CORP;VLO;01/12/2019;9;8;88,89%
VARIAN MEDICAL SYSTEMS INC (De-listed 04/2021);VNM;01/09/2019;9;9;100,00%
VENTAS INC (Vencor Inc prior to 04/1998);VTR;01/12/2019;10;9;90,00%
VERISIGN INC;VRSN;01/12/2019;7;4;57,14%
VERIZON COMMUNICATIONS INC;VZ;01/12/2019;11;10;90,91%
VF CORP;VFC;01/03/2019;13;11;84,62%
VIACOM INC (De-listed 12/2019);VIAB;01/12/2019;7;7;100,00%
VICINITY MOTOR CORP (Grande West Transportation Group Inc prior to 03/2021);VMC;01/12/2019;4;4;100,00%
VISA INC;V;01/09/2019;9;8;88,89%
VORNADO REALTY TRUST;VNO;01/12/2019;8;5;62,50%
VULCAN MATERIALS CO;VMC;01/12/2019;11;11;100,00%
WALL FINANCIAL CORP;WFC;01/01/2019;5;0;0,00%
WALLBRIDGE MINING CO LTD;WM;01/12/2019;9;9;100,00%
WALMART INC (Wal-Mart Stores Inc prior to 02/2018);WMT;01/01/2019;13;12;92,31%
WALT DISNEY CO;DIS;01/09/2019;12;11;91,67%
WASTE MANAGEMENT INC;WM;01/12/2019;8;6;75,00%
WATERS CORP;WAT;01/12/2019;9;6;66,67%
WEC ENERGY GROUP INC (Wisconsin Energy Corp prior to 06/2015);WEC;01/12/2019;15;10;66,67%
WELLS FARGO & CO;WFC;01/12/2019;14;8;57,14%
WESTERN DIGITAL CORP;WDC;01/06/2019;11;7;63,64%
WESTERN UNION CO;WU;01/12/2019;12;8;66,67%
WEYERHAEUSER CO;WY;01/12/2019;12;10;83,33%
WHIRLPOOL CORP;WHR;01/12/2019;12;9;75,00%
WILLIAMS COMPANIES INC;WMB;01/12/2019;11;11;100,00%
WPX ENERGY INC (De-listed 01/2021);WPX;01/12/2019;9;5;55,56%
WW GRAINGER INC;GWW;01/12/2019;10;9;90,00%
WYNN RESORTS LTD;WYNN;01/12/2019;8;8;100,00%
XCEL ENERGY INC;XEL;01/12/2019;12;11;91,67%
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);XRX;01/12/2019;8;8;100,00%
XILINX INC (De-listed 02/2022);XLNX;01/03/2019;10;4;40,00%
XYLEM INC;XYL;01/12/2019;10;9;90,00%
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);YUM;01/12/2019;11;11;100,00%
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);ZION;01/12/2019;11;10;90,91%
