BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021);STX;01/06/2018;12;11;91,67%
SEALED AIR CORP;SEE;01/12/2018;9;8;88,89%
SEMPRA (Sempra Energy prior to 05/2023);SRE;01/12/2018;14;13;92,86%
SHERRITT INTERNATIONAL CORPORATION;S;01/12/2018;7;7;100,00%
SHERWIN-WILLIAMS CO;SHW;01/12/2018;9;8;88,89%
SIMON PROPERTY GROUP INC;SPG;01/12/2018;10;6;60,00%
SLM CORP (SALLIE MAE);SLM;01/12/2018;12;11;91,67%
SNAP-ON INC;SNA;01/12/2018;9;9;100,00%
SOUTHERN CO;SO;01/12/2018;15;15;100,00%
SOUTHWEST AIRLINES CO;LUV;01/12/2018;11;8;72,73%
SOUTHWESTERN ENERGY CO;SWN;01/12/2018;10;7;70,00%
SPARK POWER GROUP INC (Canaccord Genuity Acquisition Corp prior to 09/2018) (De-listed 12/2023);SPG;01/12/2018;8;8;100,00%
SPRINT CORP (Sprint Nextel Corp prior to 07/2013) (De-listed 04/2020);S;01/03/2018;8;6;75,00%
STANLEY BLACK & DECKER INC;SWK;01/12/2018;12;12;100,00%
STARBUCKS CORP;SBUX;01/09/2018;12;11;91,67%
STATE STREET CORP;STT;01/12/2018;12;10;83,33%
STERICYCLE INC;SRCL;01/12/2018;9;9;100,00%
STORNOWAY DIAMOND CORPORATION (Northern Empire Minerals Ltd prior to 07/2003) (De-listed 10/2019);SWY;01/12/2018;10;10;100,00%
STRYKER CORP;SYK;01/12/2018;10;9;90,00%
SUNOCO LP (Susser Petroleum Partners LP prior to 10/2014);SUN;01/12/2018;5;5;100,00%
SUNTRUST BANKS INC (De-listed 12/2019);STI;01/12/2018;13;13;100,00%
SYSCO CORP;SYY;01/06/2018;17;12;70,59%
T ROWE PRICE GROUP INC;TROW;01/12/2018;13;12;92,31%
TARGET CORP;DYH;01/02/2018;12;11;91,67%
TE CONNECTIVITY LTD;TEL;01/09/2018;10;9;90,00%
TELUS CORP;T;01/12/2018;14;14;100,00%
TENET HEALTHCARE CORP;THC;01/12/2018;14;14;100,00%
TERADATA CORP;TDC;01/12/2018;11;8;72,73%
TERADYNE INC;TER;01/12/2018;7;5;71,43%
TEXAS INSTRUMENTS INC;TXN;01/12/2018;12;12;100,00%
TEXTRON INC;TXT;01/12/2018;12;11;91,67%
THE CIGNA GROUP (Cigna Corp prior to 02/2023);CI;01/12/2018;15;15;100,00%
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);TRV;01/12/2018;13;11;84,62%
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);TMO;01/12/2018;12;10;83,33%
TIFFANY & CO (De-listed 01/2021);TIF;01/01/2018;14;5;35,71%
TJX COS INC;TJX;01/02/2018;10;3;30,00%
TMX GROUP LTD (TMX Group Inc prior to 09/2012);X;01/12/2018;17;14;82,35%
TOTAL SYSTEM SERVICES INC (TSYS) (De-listed 09/2019);TSS;01/12/2018;12;8;66,67%
TRIPADVISOR INC;TRIP;01/12/2018;8;8;100,00%
TWC ENTERPRISES LTD (ClubLink Enterprises Ltd prior to 06/2014);TWC;01/12/2018;9;9;100,00%
TYSON FOODS INC;TSN;01/09/2018;10;9;90,00%
UNION PACIFIC CORP;UNP;01/12/2018;12;11;91,67%
UNITED PARCEL SERVICE (UPS) INC;UPS;01/12/2018;13;11;84,62%
UNITED STATES STEEL CORP;X;01/12/2018;12;12;100,00%
UNITEDHEALTH GROUP INC;UNH;01/12/2018;11;10;90,91%
UNUM GROUP (UnumProvident Corp prior to 03/2007);UNM;01/12/2018;11;10;90,91%
URBAN OUTFITTERS INC;URBN;01/01/2018;9;4;44,44%
US BANCORP;USB;01/12/2018;19;18;94,74%
VALERO ENERGY CORP;VLO;01/12/2018;10;8;80,00%
VARIAN MEDICAL SYSTEMS INC (De-listed 04/2021);VNM;01/09/2018;9;7;77,78%
VENTAS INC (Vencor Inc prior to 04/1998);VTR;01/12/2018;10;9;90,00%
VERISIGN INC;VRSN;01/12/2018;6;3;50,00%
VERIZON COMMUNICATIONS INC;VZ;01/12/2018;11;9;81,82%
VIACOM INC (De-listed 12/2019);VIAB;01/09/2018;8;7;87,50%
VICINITY MOTOR CORP (Grande West Transportation Group Inc prior to 03/2021);VMC;01/12/2018;4;3;75,00%
VISA INC;V;01/09/2018;10;8;80,00%
VORNADO REALTY TRUST;VNO;01/12/2018;8;3;37,50%
VULCAN MATERIALS CO;VMC;01/12/2018;10;10;100,00%
WALL FINANCIAL CORP;WFC;01/01/2018;5;0;0,00%
WALLBRIDGE MINING CO LTD;WM;01/12/2018;7;7;100,00%
WALMART INC (Wal-Mart Stores Inc prior to 02/2018);WMT;01/01/2018;13;10;76,92%
WALT DISNEY CO;DIS;01/09/2018;15;14;93,33%
WASTE MANAGEMENT INC;WM;01/12/2018;8;7;87,50%
WATERS CORP;WAT;01/12/2018;9;6;66,67%
WEC ENERGY GROUP INC (Wisconsin Energy Corp prior to 06/2015);WEC;01/12/2018;14;9;64,29%
WELLS FARGO & CO;WFC;01/12/2018;15;13;86,67%
WESTERN DIGITAL CORP;WDC;01/06/2018;8;4;50,00%
WESTERN UNION CO;WU;01/12/2018;11;9;81,82%
WEYERHAEUSER CO;WY;01/12/2018;11;9;81,82%
WHIRLPOOL CORP;WHR;01/12/2018;12;12;100,00%
WILLIAMS COMPANIES INC;WMB;01/12/2018;12;10;83,33%
WPX ENERGY INC (De-listed 01/2021);WPX;01/12/2018;11;11;100,00%
WW GRAINGER INC;GWW;01/12/2018;10;9;90,00%
WYNN RESORTS LTD;WYNN;01/12/2018;14;14;100,00%
XCEL ENERGY INC;XEL;01/12/2018;12;10;83,33%
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);XRX;01/12/2018;13;13;100,00%
XILINX INC (De-listed 02/2022);XLNX;01/03/2018;9;3;33,33%
XYLEM INC;XYL;01/12/2018;9;8;88,89%
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);YUM;01/12/2018;11;11;100,00%
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);ZION;01/12/2018;10;8;80,00%
