Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
3439;23229;12589610;CMS ENERGY CORP;CMS;01/12/2018;5;5;3;100,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,45;0,09;0,11;0,07;0,8;4,12
120093;86799;12653C10;CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2018;3;3;3;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;2,08;0,13;0,18;0,08;0,41;0,81
3144;11308;19121610;COCA-COLA CO;KO;01/12/2018;5;5;2;100,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,09;0,13;0,35;0,16;0,77;3,78
111864;86158;19244610;COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;8;7;4;87,50%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,32;0,22;0,19;0,25;0,28;0,39
3170;18729;19416210;COLGATE-PALMOLIVE CO;CL;01/12/2018;7;6;7;85,71%;100,00%;31/12/2018;31/12/2018;28/02/2019;;0,35;;0,6;0,98;-117,29
3226;89525;20030N10;COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2018;5;5;2;100,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,64;0,14;0,12;0,12;0,71;2,48
3231;25081;20034010;COMERICA INC;CMA;01/12/2018;6;2;3;33,33%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,68;0,03;0,16;0,15;0,89;8,43
3413;11404;20911510;CONSOLIDATED EDISON INC;ED;01/12/2018;8;7;6;87,50%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,92;0,08;0,06;0,07;0,69;2,22
3532;22293;21935010;CORNING INC;GLW;01/12/2018;10;8;7;80,00%;70,00%;31/12/2018;31/12/2018;28/02/2019;0,5;0,11;0,08;0,1;0,5;0,99
3170;18729;19416210;CRESCO LABS INC;CL;01/12/2018;3;3;1;100,00%;33,33%;31/12/2018;31/12/2018;28/02/2019;;0,35;;0,6;0,98;-117,29
2574;62148;12640810;CSX CORP;CSX;01/12/2018;7;5;4;71,43%;57,14%;31/12/2018;31/12/2018;28/02/2019;0,38;0,17;0,16;0,18;0,66;1,92
3650;41080;23102110;CUMMINS INC;CMI;01/12/2018;6;5;1;83,33%;16,67%;31/12/2018;31/12/2018;28/02/2019;0,36;0,16;0,28;0,25;0,57;1,47
7241;17005;12665010;CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;7;4;5;57,14%;71,43%;31/12/2018;31/12/2018;28/02/2019;0,78;0,09;-0,01;0,11;0,7;2,37
3735;49680;23585110;DANAHER CORP;DHR;01/12/2018;4;2;4;50,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,39;0,1;0,1;0,09;0,41;0,69
61483;82307;23918K10;DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;5;5;4;100,00%;80,00%;31/12/2018;31/12/2018;28/02/2019;0,5;0,11;0,13;0,11;0,74;3,8
62655;83421;24237020;DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);DF;01/12/2018;5;5;5;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,91;0,05;-0,64;-0,02;0,85;5,95
14934;87137;25179M10;DEVON ENERGY CORP;DVN;01/12/2018;4;3;1;75,00%;25,00%;31/12/2018;31/12/2018;28/02/2019;0,99;0,13;0,08;0,09;0,53;1,13
177376;92121;25470910;DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2018;4;4;4;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,54;0,04;0,26;0,12;0,9;8,84
4029;64936;25746U10;DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;7;7;6;100,00%;85,71%;31/12/2018;31/12/2018;28/02/2019;0,52;0,08;0,1;0,08;0,72;2,78
4058;25953;26000310;DOVER CORP;DOV;01/12/2018;6;6;6;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,3;0,12;0,15;0,13;0,67;2,02
3897;11674;23333110;DTE ENERGY CO;DTE;01/12/2018;6;3;5;50,00%;83,33%;31/12/2018;31/12/2018;28/02/2019;0,62;0,08;0,09;0,07;0,7;2,5
