Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
001920;40416;AVP;05430310;31/12/2018;31/12/2018;28/02/2019;;0,10;;0,26;1,13;-7,27
003650;41080;CMI;23102110;31/12/2018;31/12/2018;28/02/2019;0,36;0,16;0,28;0,25;0,57;1,47
004145;42200;PKI;71404610;31/12/2018;31/12/2018;28/02/2019;0,32;0,09;0,08;0,09;0,57;1,31
005786;42906;HBAN;44615010;31/12/2018;31/12/2018;28/02/2019;0,80;0,02;0,14;0,08;0,90;8,80
010405;43123;ATI;01741R10;31/12/2018;31/12/2018;28/02/2019;0,69;0,09;0,12;0,11;0,64;1,86
010016;43350;SWK;85450210;31/12/2018;31/12/2018;28/02/2019;0,43;0,11;0,08;0,15;0,60;1,48
007154;43449;MCD;58013510;31/12/2018;31/12/2018;28/02/2019;;0,30;;0,34;1,19;-6,24
002154;43772;BMS;08143710;31/12/2018;31/12/2018;28/02/2019;0,33;0,15;0,16;0,15;0,66;1,94
007970;44206;ES;30040W10;31/12/2018;31/12/2018;28/02/2019;0,73;0,07;0,07;0,07;0,70;2,28
001913;44601;AVY;05361110;31/12/2018;31/12/2018;28/02/2019;0,13;0,19;0,45;0,28;0,82;4,42
007065;45751;MMC;57174810;31/12/2018;31/12/2018;28/02/2019;0,20;0,16;0,21;0,23;0,65;1,86
005125;46674;GPC;37246010;31/12/2018;31/12/2018;28/02/2019;0,26;0,11;0,22;0,17;0,73;2,67
002968;47896;JPM;46625H10;31/12/2018;31/12/2018;28/02/2019;0,74;0,03;0,14;0,08;0,90;9,22
004988;47941;TGNA;87901J10;31/12/2018;31/12/2018;28/02/2019;0,74;0,15;0,26;0,17;0,75;2,94
139665;48506;MCO;61536910;31/12/2018;31/12/2018;28/02/2019;0,03;0,23;;0,34;0,93;19,29
027914;48653;HUM;44485910;31/12/2018;31/12/2018;28/02/2019;0,26;0,14;0,17;0,20;0,60;1,50
010867;48725;UNP;90781810;31/12/2018;31/12/2018;28/02/2019;0,32;0,18;0,18;0,20;0,65;1,90
006742;49015;LNC;53418710;31/12/2018;31/12/2018;28/02/2019;1,47;0,01;0,09;0,10;0,95;19,78
002019;49656;BK;06405810;31/12/2018;31/12/2018;28/02/2019;0,88;0,03;0,11;0,09;0,89;7,92
003735;49680;DHR;23585110;31/12/2018;31/12/2018;28/02/2019;0,39;0,10;0,10;0,09;0,41;0,69
006788;50017;RRC;75281A10;31/12/2018;31/12/2018;28/02/2019;1,98;0,12;-0,31;0,01;0,58;1,39
006730;50876;LLY;53245710;31/12/2018;31/12/2018;28/02/2019;0,08;0,17;0,30;0,26;0,75;3,36
010453;51369;TER;88077010;31/12/2018;31/12/2018;28/02/2019;0,28;0,20;0,26;0,23;0,44;0,78
002312;52230;RHI;77032310;31/12/2018;31/12/2018;28/02/2019;0,16;0,35;0,40;0,54;0,44;0,79
007750;52337;THC;88033G40;31/12/2018;31/12/2018;28/02/2019;;0,11;;0,11;0,91;-170,61
004423;52476;EFX;29442910;31/12/2018;31/12/2018;28/02/2019;0,30;0,16;0,09;0,14;0,56;1,29
005256;52695;GWW;38480210;31/12/2018;31/12/2018;28/02/2019;0,13;0,27;0,42;0,33;0,64;1,97
005518;52978;HAS;41805610;31/12/2018;31/12/2018;28/02/2019;0,17;0,15;0,12;0,17;0,67;2,00
