Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2019;5;5;2;1;0,4;1,13;0,03;0,11;0,08;0,85;5,72;USD;390365;887;9116;9969;9969;5546;33907;A
CATERPILLAR INC;2817;18542;14912310;CAT;31/12/2019;4;3;4;0,75;1;0,18;0,16;0,41;0,19;0,81;4,38;USD;78453;2669;9624;12201;19056;6093;53800;A
CENTERPOINT ENERGY INC;5742;21792;15189T10;CNP;31/12/2019;4;4;1;1;0,25;0,77;0,09;0,08;0,08;0,76;3,24;USD;35439;2506;1477;2764;2764;791;12301;A
CERNER CORP;12850;10909;15678210;CERN;31/12/2019;5;3;1;0,6;0,2;0,21;0,23;0,11;0,16;0,37;0,6;USD;6894,62;471,52;858,02;1546,43;4994,74;529,45;5692,6;I
CF INDUSTRIES HOLDINGS INC;163946;90829;12526910;CF;31/12/2019;6;2;6;0,3333;1;0,4;0,14;0,12;0,13;0,54;2,26;USD;12172;404;926;1789;2037;493;4590;A
C H ROBINSON WORLDWIDE INC;65609;85459;12541W20;CHRW;31/12/2019;5;4;5;0,8;1;0,16;0,2;0,35;0,25;0,64;1,78;USD;4641,06;36,29;784,18;884,63;2686,76;576,97;15309,51;A
SCHWAB (CHARLES) CORP;13988;75186;80851310;SCHW;31/12/2019;5;4;5;0,8;1;0,31;0,02;0,2;0,2;0,93;12,49;USD;294005;;;;;;;A
SCHWAB (CHARLES) CORP;13988;75186;80851310;SCHW;31/12/2019;5;4;5;0,8;1;0,31;0,02;0,2;0,2;0,93;12,49;USD;294005;708;5158;5507;5507;3704;11785;A
CHEVRON CORP;2991;14541;16676410;CVX;31/12/2019;4;4;4;1;1;0,7;0,12;0,02;0;0,39;0,64;USD;237428;14116;100;29318;34231;2924;139865;A
CHIPOTLE MEXICAN GRILL INC;165914;91068;16965610;CMG;31/12/2019;5;2;1;0,4;0,2;0,07;0,2;0,22;;0,67;2,03;USD;5104,6;333,91;510,38;723,07;1142,49;350,16;5586,37;A
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2019;11;6;5;0,5455;0,4545;0,64;0,11;0,21;0,26;0,61;1,58;USD;25408;;;;;;;A
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2019;11;6;5;0,5455;0,4545;0,64;0,11;0,21;0,26;0,61;1,58;USD;25408;24;2525;2550;2550;1997;7924;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2019;11;11;9;1;0,8182;1,04;0,02;0,11;0,06;0,9;9,09;USD;1951158;;;;;;;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2019;11;11;9;1;0,8182;1,04;0,02;0,11;0,06;0,9;9,09;USD;1951158;5336;40431;44336;44336;19401;103449;A
CITRIX SYSTEMS INC;61676;82686;17737610;CTXS;31/12/2019;6;6;4;1;0,6667;0,06;0,15;0,96;0,27;0,81;4,24;USD;4388,93;63,45;571,57;704,58;2676,84;681,81;3010,56;I
CLEVELAND-CLIFFS INC;3107;27422;18589910;CLF;31/12/2019;5;5;3;1;0,6;0,16;0,15;0,09;0,18;0,9;8,79;USD;3503,8;639;438,5;522,6;659,8;292,8;1989,9;A
CME GROUP INC;149070;89626;12572Q10;CME;31/12/2019;8;4;3;0,5;0,375;0,44;0,04;0,07;0,09;0,65;1,88;USD;75215,3;;;;;;;A
CME GROUP INC;149070;89626;12572Q10;CME;31/12/2019;8;4;3;0,5;0,375;0,44;0,04;0,07;0,09;0,65;1,88;USD;75215,3;245,6;2587,8;3061,1;3061,1;2116,5;4868;A
CMS ENERGY CORP;3439;23229;12589610;CMS;31/12/2019;6;6;6;1;1;0,38;0,09;0,1;0,07;0,81;4,31;USD;26837;2104;1239;2231;2231;680;6845;A
CNX RESOURCES CORPORATION;120093;86799;12653C10;CNX;31/12/2019;4;4;4;1;1;2,81;0,09;-0,02;0,03;0,45;0,99;USD;9060,81;1192,6;184,87;812,77;812,77;-80,73;1924,35;A
COCA-COLA CO;3144;11308;19121610;KO;31/12/2019;4;4;2;1;0,5;0,09;0,14;0,44;0,17;0,76;3,44;USD;86381;2054;10541;11887;23993;8920;37266;A
COGNIZANT TECH SOLUTIONS;111864;86158;19244610;CTSH;31/12/2019;10;9;5;0,9;0,5;0,33;0,21;0,16;0,23;0,32;0,47;USD;16204;392;2812;3319;6174;1842;16783;A
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2019;7;7;7;1;1;0,01;0,31;;0,51;0,96;123,73;USD;15034;335;3759;4278;9793;2367;15693;A
COMCAST CORP;3226;89525;20030N10;CMCSA;31/12/2019;4;4;2;1;0,5;0,54;0,13;0,12;0,11;0,68;2,15;USD;263414;11123;21305;34258;34258;13057;108942;A
